file,m,label,m_norm,db_at_event,local_mean_db,local_std_db,pre_mean_db,post_mean_db,loss_dB,peak_above_bg_dB,pre_slope_dB_per_km,post_slope_dB_per_km,slope_change_dB_per_km,derivative_at_event_dB_per_km,max_pre_derivative,min_post_derivative,pre_std_db,post_std_db,post_to_pre_std_ratio,peak_width_m,local_range_db
class1_2026_04_27_14_36_42.csv,143.9,non_bend,0.7204473883156352,-49.900002,-34.81533433333334,13.524609438895741,-38.059667833333336,-36.54616766666666,-1.5135001666666739,28.300002,6246.572072175107,-1699.2591709866945,-7945.8312431618015,-44357.369905954205,43918.50000000358,-44357.369905954205,13.263262737216872,13.436932102926914,1.0130939389543108,0.0,28.300002
class1_2026_04_27_14_36_42.csv,105.612,non_bend,0.5287553132369065,-14.839,-14.832555555555555,0.10730860078516158,-14.827500000000002,-14.876444444444445,0.04894444444444268,0.24399999999999977,-12.840035942647521,-30.713591431272974,-17.873555488625453,-341.6927899686525,97.17868338558037,-341.6927899686525,0.11552068116912097,0.12458697195231493,1.0784726355386276,0.0,0.43400000000000105
class1_2026_04_27_14_36_42.csv,193.675,non_bend,0.9696500898681767,-49.900002,-40.61933488888889,13.16216596182943,-35.61844538888889,-41.052446,5.4340006111111165,29.724001,-249.38452000151756,-507.5567764019639,-258.1722564004463,-4156.741379303014,46589.34326019216,-40086.20846394638,14.28895424285906,12.537360222846765,0.8774161588274512,0.0,29.724001
class1_2026_04_27_14_36_42.csv,151.558,non_bend,0.7587878059648437,-20.440001,-34.58966777777778,13.778391602669723,-36.20138994444444,-31.082000444444443,-5.1193895000000005,3.557501000000002,-833.5177444373008,1715.9671492459622,2549.484893683263,46938.87617555258,46938.87617555258,-46175.55015674399,13.755999482417803,13.351832157910072,0.9706187619705077,0.9569999999999856,29.947003000000002
class1_2026_04_27_14_36_42.csv,121.884,non_bend,0.6102224425119032,-14.863,-14.889888888888887,0.062493456447578394,-14.889555555555555,-13.504055555555555,-1.3855000000000004,0.07399999999999984,7.222076593053317,144.85965673901507,137.63758014596175,189.74625136748364,189.74625136748364,-133.22884012538998,0.08893582094360827,2.9001701189991946,32.60932972675165,0.0,0.20099999999999874
class1_2026_04_27_14_36_42.csv,171.659,non_bend,0.8594251440644447,-24.051001,-32.78144533333334,12.399413774543806,-38.193001333333335,-30.365778388888884,-7.8272229444444505,6.759499499999997,1502.6956339636108,-2623.1941511543046,-4125.889785117915,38902.82445140702,43717.87304074858,-8767.33889157293,13.247510976498386,12.425303797524588,0.9379348982335379,0.0,29.728001
class1_2026_04_27_14_36_42.csv,168.78799999999998,non_bend,0.8450512423837345,-22.921,-34.52922344444445,13.768005505077793,-35.336945666666665,-31.997834166666664,-3.3391115000000013,3.9654989999999977,-4006.226420408444,722.0007845010084,4728.227204909453,41565.83228840502,45534.48432601488,-41565.832288397076,13.218684325426352,12.852285714354078,0.9722816904970498,0.0,29.051001
class1_2026_04_27_14_36_42.csv,129.542,non_bend,0.6485628601611119,-10.778,-10.612666666666666,2.2024156434848234,-11.603,-17.960777888888888,6.357777888888888,7.590000000000001,2105.0393503969776,-2616.590460325842,-4721.6298107228195,-2576.8025078370356,-2263.322884012521,-2979.6238244513916,3.5967584016722616,3.7994886834941926,1.0563644267469419,3.1899999999999986,6.791000000000001
class1_2026_04_27_14_36_42.csv,27.121,non_bend,0.13578355537531855,-14.279,-14.427333333333333,0.11021393338009113,-14.59461111111111,-14.434277777777778,-0.1603333333333321,0.21000000000000085,46.00559354871159,-43.63386344206161,-89.6394569907732,261.75548589341633,465.5172413793116,-362.06896551724276,0.3518284207597802,0.13616730132677715,0.38702647729891976,0.9569999999999995,0.2970000000000006
class1_2026_04_27_14_36_42.csv,77.85300000000001,non_bend,0.3897775574880969,-14.799,-14.766555555555556,0.10177765647736595,-14.72461111111111,-14.760888888888891,0.036277777777780074,0.1855000000000011,-15.07571141914258,-7.923742209939479,7.151969209203101,-166.1442006269608,278.99686520376054,-396.55172413793116,0.08857460062875348,0.10931294977107854,1.2341203333098627,0.0,0.36100000000000065
class1_2026_04_27_14_36_42.csv,134.328,non_bend,0.672524369545953,-21.583,-24.639222555555556,9.09769204813464,-15.26511111111111,-37.82994566666667,22.564834555555557,2.5025005,-2738.346593734598,-3474.207463869444,-735.8608701348458,6420.064263322605,6420.064263322605,-46948.27742946407,4.55055317526088,13.539184199128815,2.9752824991590443,0.0,31.124003000000002
class1_2026_04_27_14_36_42.csv,47.222,non_bend,0.23642089347491954,-14.533,-14.611555555555555,0.07999876542257287,-14.622555555555557,-14.62261111111111,5.5555555553254976e-05,0.10899999999999999,-2.070364720873989,-17.259746845332963,-15.189382124458973,147.33542319749176,147.33542319749176,-20.376175548590254,0.09929094298084157,0.08832964702301184,0.8895953122808271,0.6379999999999997,0.24600000000000044
class1_2026_04_27_14_36_42.csv,173.574,non_bend,0.8690127517685757,-49.900002,-28.70900055555556,11.733658078271187,-32.008889833333335,-32.947389666666666,0.9384998333333314,3.372,1585.976907629762,-3307.1134395449317,-4893.090347174693,-1150.4686520296382,16374.608150468775,-45300.94514106938,12.845495951036193,13.64622797642247,1.062335542831738,0.0,29.728001
class1_2026_04_27_14_36_42.csv,22.335,non_bend,0.11182204599047749,-14.894,-14.84822222222222,0.3269915995447581,-14.595222222222223,-14.43372222222222,-0.16150000000000198,0.0004999999999988347,-162.556359329382,25.190641914319546,187.74700124370153,1335.423197492164,1335.423197492164,42.319749216301716,0.3206771577555421,0.17273094220510055,0.538642679670051,0.0,1.0589999999999993
class1_2026_04_27_14_36_42.csv,18.506,non_bend,0.09265183716587312,-14.467,-14.442888888888891,0.115015404228636,-14.445444444444446,-14.616666666666665,0.1712222222222195,0.307500000000001,-17.139537809728935,-125.39614091037448,-108.25660310064555,-145.76802507836692,257.0532915360491,-432.6018808777444,0.10763788171571798,0.34920672005752323,3.2442432928632914,0.0,0.39700000000000024
class1_2026_04_27_14_36_42.csv,183.14600000000002,non_bend,0.9169357705382579,-49.900002,-42.22655688888889,10.879887484655645,-37.821834388888895,-36.80066761111111,-1.0211667777777862,24.572003000000002,442.2332006734026,1981.38479399745,1539.1515933240476,-1.4551915228366852e-11,-1.4551915228366852e-11,-33352.667711595874,13.58201852941839,13.297436614996633,0.9790470839917911,0.0,24.572003000000002
class1_2026_04_27_14_36_42.csv,119.01299999999999,non_bend,0.595848540831193,-14.991,-14.884000000000002,0.08749857141690942,-14.89338888888889,-14.875555555555557,-0.017833333333332035,0.14700000000000024,-18.412409633904844,-8.425218925016955,9.987190708887889,199.059561128528,233.5423197492164,-394.98432601880995,0.10190471523758987,0.07432826755699791,0.7293827179732163,0.0,0.2530000000000001
class1_2026_04_27_14_36_42.csv,167.83,non_bend,0.8402549352398405,-20.849001,-37.858445888888895,13.4867162485193,-33.89161216666666,-33.62283433333333,-0.2687778333333313,3.9654989999999977,-5765.680132861245,2497.317268341981,8262.997401203225,284.59052702999907,45534.48432601488,-45321.152772891066,12.965616517660536,13.163045629948718,1.0152270504678442,0.6390000000000007,29.051001
class1_2026_04_27_14_36_42.csv,74.98100000000001,non_bend,0.37539864922372923,-14.72,-14.711,0.07520786010931428,-14.687722222222224,-14.763777777777777,0.07605555555555377,0.09799999999999898,-6.672630338811538,-29.21601894323649,-22.543388604424955,-29.780564263324777,244.5141065830685,-246.08150470219334,0.0939212468895293,0.09897337215161324,1.0537798597176347,0.0,0.24799999999999933
class1_2026_04_27_14_36_42.csv,140.071,non_bend,0.7012771794910307,-49.900002,-44.13955722222223,10.78547162394116,-36.25677888888889,-35.18400094444444,-1.0727779444444465,2.6814985,-2698.5178398101884,-256.0568181818411,2442.461021628347,0.0,1.4551915228366852e-11,-42067.39968651674,13.689616451927716,13.203890847511625,0.9645186137507669,0.0,26.839001
class1_2026_04_27_14_36_42.csv,177.403,non_bend,0.88818296059318,-21.448999,-35.31555633333333,13.19675525643608,-30.510334055555557,-39.402445666666665,8.892111611111108,6.287501999999996,-2849.5523846843757,248.49201466147136,3098.044399345847,-33222.391006935664,44591.990201954664,-33222.391006935664,12.335536886395769,13.235735529171084,1.0729759537902355,0.6390000000000007,28.451003
class1_2026_04_27_14_36_42.csv,175.488,non_bend,0.8785953528890491,-20.747,-33.99066755555556,14.242291818310953,-31.805500833333333,-39.36011233333333,7.5546115,9.195000499999999,2116.5856759059106,-1613.7163919505836,-3730.3020678564944,-45893.4184953018,45893.418495293816,-45893.4184953018,13.00290040240813,13.315916898081266,1.0240727423815708,1.2759999999999994,29.348002
class1_2026_04_27_14_36_42.csv,181.231,non_bend,0.9073481628341269,-49.900002,-38.18188988888889,13.20918857268557,-37.74050111111111,-35.640834111111104,-2.0996670000000037,19.011002000000005,-467.74536710018657,1423.672734009057,1891.4181011092435,813.4811912304394,44797.80877743338,-45638.31177241365,13.702772871061178,12.979730244240852,0.9472337766335531,0.0,29.100003
class1_2026_04_27_14_36_42.csv,93.168,non_bend,0.4664533862028568,-14.793,-14.79877777777778,0.09627942872214028,-14.824555555555557,-14.772666666666664,-0.05188888888889309,0.1169999999999991,5.973475073983336,22.54696987778103,16.573494803797693,-199.05956112852436,401.2539184952984,-432.3898743383288,0.09973755685253968,0.10638922251180627,1.0666809894702947,0.0,0.2859999999999996
class1_2026_04_27_14_36_42.csv,145.815,non_bend,0.730034996019766,-49.900002,-32.13466744444444,12.64625328519029,-35.18400094444445,-34.56472322222222,-0.619277722222229,4.526498499999999,928.9401182402092,-39.9166227798574,-968.8567410200667,-37327.59090908769,43379.98363367171,-37327.59090908769,13.203890847511625,13.781325120976673,1.043732051135656,0.0,28.832001
class1_2026_04_27_14_36_42.csv,127.62799999999999,non_bend,0.6389802590406384,-5.974,-8.865777777777776,2.8783992765184143,-13.997888888888887,-13.511055555555556,-0.48683333333333145,8.878499999999999,1145.7939384757772,-2611.153926147345,-3756.947864623122,579.9373040753908,9655.17241379335,-2695.9247648903,2.262656621684855,4.375253266500685,1.9336788847632709,2.8709999999999845,8.891
class1_2026_04_27_14_36_42.csv,20.42,non_bend,0.10223443828634655,-14.381,-14.578555555555559,0.30447883017492605,-14.453166666666666,-14.612333333333332,0.1591666666666658,0.31599999999999895,21.587732200136546,178.05642633228638,156.46869413214984,-266.0052596141104,622.2570532915379,-1437.3040752351117,0.11420169778850828,0.35449353543706086,3.1040732163223206,0.0,1.1020000000000003
class1_2026_04_27_14_36_42.csv,88.382,non_bend,0.4424918768180157,-14.855,-14.849444444444446,0.13737953196335007,-14.74783333333333,-14.802555555555557,0.054722222222226335,0.07450000000000045,-64.47869739532867,5.2906971653653425,69.76939456069401,40.75235109718051,195.92476489028195,-474.9216300940425,0.14624190385947677,0.09893950015720719,0.6765422290320294,0.0,0.375
class1_2026_04_27_14_36_42.csv,70.195,non_bend,0.35143713983888814,-14.722,-14.651222222222222,0.08217160604190568,-14.700555555555557,-14.707611111111113,0.007055555555556481,0.20849999999999902,20.968710502285564,-8.553759302228995,-29.522469804514557,-70.53291536050165,321.31661442006225,-178.68338557994502,0.11550912528753449,0.07460945642245558,0.6459126958501118,0.0,0.24099999999999966
