m,candidate_idx,m_norm,db_at_event,local_mean_db,local_std_db,pre_mean_db,post_mean_db,loss_dB,peak_above_bg_dB,pre_slope_dB_per_km,post_slope_dB_per_km,slope_change_dB_per_km,derivative_at_event_dB_per_km,max_pre_derivative,min_post_derivative,pre_std_db,post_std_db,post_to_pre_std_ratio,peak_width_m,local_range_db,file,split,label,gt_m
182.827,572,0.915339,-23.741,-34.703,13.6405,-35.7103,-38.0358,2.3254,24.0175,5356.0399,3153.2784,-2202.7614,-46302.5125,4893.9441,-46302.5125,13.2434,13.3401,1.0073,2.872,29.541,class2_2026_04_27_16_05_29.csv,train,background,
183.465,574,0.918533,-49.9,-35.3623,13.1406,-34.2571,-34.9221,0.665,4.853,4198.2248,1409.4058,-2788.8191,0.0,2804.0784,-43757.0564,13.0403,13.4776,1.0335,0.0,29.541,class2_2026_04_27_16_05_29.csv,train,background,
184.422,577,0.923324,-21.983,-44.3484,10.4778,-36.2807,-34.9288,-1.3518,4.575,-1220.4131,3433.2871,4653.7002,34556.4279,43757.0564,-43757.0564,13.664,13.4711,0.9859,0.638,27.917,class2_2026_04_27_16_05_29.csv,train,background,
185.06,579,0.926518,-49.9,-38.521,12.8229,-35.056,-34.5316,-0.5244,3.229,-2481.1372,244.3948,2725.532,-34556.4279,43757.0564,-34556.4279,13.3731,13.7759,1.0301,0.0,27.917,class2_2026_04_27_16_05_29.csv,train,background,
185.379,580,0.928115,-49.9,-35.4624,13.0253,-35.056,-34.5316,-0.5244,3.229,-5471.8574,-36.601,5435.2564,0.0,43757.0564,-43429.4718,13.3731,13.7759,1.0301,0.0,27.917,class2_2026_04_27_16_05_29.csv,train,background,
186.337,583,0.932912,-22.192,-37.9242,13.4164,-33.6816,-35.8844,2.2028,3.12,-4376.2291,-1738.8662,2637.3629,4347.6596,43468.3515,-43429.4718,13.0442,14.026,1.0753,0.958,27.808,class2_2026_04_27_16_05_29.csv,train,background,
187.294,586,0.937703,-22.092,-31.7231,12.9009,-35.0827,-35.7984,0.7157,5.805,123.7384,-1808.4974,-1932.2358,0.0,43468.3515,-1874.6097,13.3419,14.1232,1.0586,0.638,29.198,class2_2026_04_27_16_05_29.csv,train,background,
187.613,587,0.9393,-49.9,-31.3889,13.1039,-35.1015,-34.5852,-0.5163,5.805,2869.7528,-1649.062,-4518.8148,-1874.6097,4347.6596,-1874.6097,13.3233,13.7938,1.0353,0.0,29.198,class2_2026_04_27_16_05_29.csv,train,background,
187.932,588,0.940897,-23.288,-31.3231,13.1513,-36.6433,-36.0636,-0.5797,18.2785,3153.2784,284.8197,-2868.4587,0.0,440.4389,-43490.5987,13.3409,13.9293,1.0441,0.638,29.198,class2_2026_04_27_16_05_29.csv,train,background,
188.889,591,0.945689,-22.153,-34.3831,13.8929,-38.0358,-35.0984,-2.9374,18.596,1633.5395,-452.128,-2085.6675,-1407.5235,43490.5987,-44357.3699,13.3401,13.4035,1.0048,1.276,29.198,class2_2026_04_27_16_05_29.csv,train,background,
189.208,592,0.947286,-21.6,-31.1389,13.2865,-36.4943,-36.6706,0.1763,18.596,1417.2174,2070.6839,653.4665,-43490.5987,43490.5987,-44357.3699,13.4825,13.3877,0.993,1.276,29.198,class2_2026_04_27_16_05_29.csv,train,background,
189.846,594,0.95048,-49.9,-34.0958,14.1438,-34.9221,-33.8408,-1.0812,5.805,2702.6883,1187.0791,-1515.6092,43565.8339,43565.8339,-45836.513,13.4776,12.9781,0.9629,0.0,29.198,class2_2026_04_27_16_05_29.csv,train,background,
190.165,595,0.952077,-22.105,-37.34,14.0479,-34.9221,-33.7928,-1.1292,5.805,244.3948,1011.0065,766.6118,45764.8934,45764.8934,-45836.513,13.4776,13.0229,0.9663,0.957,29.198,class2_2026_04_27_16_05_29.csv,train,background,
191.123,598,0.956873,-49.9,-37.0939,14.3314,-34.5316,-32.5858,-1.9458,5.2105,-1400.1794,2594.8087,3994.9882,0.0,45764.8934,0.0,13.7759,12.4305,0.9023,0.0,30.166,class2_2026_04_27_16_05_29.csv,train,background,
192.08,601,0.961665,-49.9,-38.0314,13.4259,-34.3451,-32.8461,-1.499,5.8745,-1782.7661,-169.3399,1613.4262,3244.5172,44037.6191,-47282.1364,13.9234,12.2497,0.8798,0.0,30.166,class2_2026_04_27_16_05_29.csv,train,background,
193.356,605,0.968053,-28.061,-32.8956,12.2911,-35.7984,-32.6622,-3.1362,5.8745,-2257.9663,-3156.304,-898.3377,0.0,41874.6113,-40456.1144,14.1232,12.3296,0.873,0.0,30.166,class2_2026_04_27_16_05_29.csv,train,background,
194.313,608,0.972844,-24.089,-33.5562,11.6981,-34.5467,-33.1456,-1.4011,3.893,2070.6839,-290.1765,-2360.8605,-9561.1254,40456.1144,-40456.1144,13.8262,12.5233,0.9058,0.957,27.304,class2_2026_04_27_16_05_29.csv,train,background,
194.951,610,0.976038,-49.9,-30.2248,10.7112,-35.0984,-32.3253,-2.7731,5.248,1187.0791,-2054.1191,-3241.1982,7147.3339,40456.1144,-3148.9013,13.4035,12.5315,0.9349,0.0,28.659,class2_2026_04_27_16_05_29.csv,train,background,
118.694,371,0.594251,-17.774,-17.2619,0.3341,-17.1525,-17.1133,-0.0392,0.203,-29.1774,35.8079,64.9853,-1053.2931,21.9467,-1053.2931,0.2671,0.3422,1.2808,0.0,0.983,class2_2026_04_27_15_35_57.csv,train,background,
127.628,399,0.63898,-8.081,-10.9746,2.8957,-16.0765,-17.3465,1.27,8.6765,1195.6886,-2803.2768,-3998.9655,626.9592,9626.9592,-2753.9185,2.2617,9.0108,3.9841,2.871,8.957,class2_2026_04_27_15_35_57.csv,train,connector,127.95
132.095,413,0.661345,-19.973,-22.8611,9.8399,-13.1487,-40.9058,27.7572,3.18,-2512.5771,-3937.8527,-1425.2757,-3779.0,-2277.0661,-47067.4013,3.397,12.8073,3.7702,0.0,33.703,class2_2026_04_27_15_35_57.csv,train,break,130.82
134.328,420,0.672524,-49.9,-40.7003,13.0567,-20.3791,-42.6404,22.2613,3.657,-5236.3118,1852.9042,7089.2161,-42931.0376,39777.4342,-42931.0376,11.1545,11.7633,1.0546,0.0,30.029,class2_2026_04_27_15_35_57.csv,train,background,
135.285,423,0.677316,-49.9,-46.8567,8.6078,-26.8711,-41.2159,14.3448,3.6425,-8143.0,2824.3707,10967.3707,0.0,0.0,-0.0,14.5813,12.3364,0.846,0.0,27.39,class2_2026_04_27_15_35_57.csv,train,background,
137.519,430,0.6885,-21.525,-41.2684,12.3071,-39.0964,-39.7826,0.6862,28.375,-2870.8995,350.698,3221.5976,-0.0,34666.1458,-42620.6928,13.6631,12.7218,0.9311,0.638,28.375,class2_2026_04_27_15_35_57.csv,train,background,
137.838,431,0.690097,-49.9,-41.2684,12.3071,-39.2432,-38.1713,-1.0719,28.375,-1821.8929,-1144.2549,677.638,-1854.232,34666.1458,-42620.6928,13.4578,13.1673,0.9784,0.0,28.375,class2_2026_04_27_15_35_57.csv,train,background,
138.476,433,0.693292,-49.9,-40.8868,12.7641,-40.9844,-39.682,-1.3024,28.375,2621.4849,2117.1394,-504.3455,-42620.6928,9808.779,-42620.6928,12.6906,12.8629,1.0136,0.0,28.375,class2_2026_04_27_15_35_57.csv,train,background,
138.795,434,0.694889,-49.9,-37.8382,13.5025,-40.9844,-39.682,-1.3024,28.375,1445.6317,2655.4387,1209.8071,-0.0,-0.0,-0.0,12.6906,12.8629,1.0136,0.0,28.375,class2_2026_04_27_15_35_57.csv,train,background,
140.071,438,0.701277,-22.463,-41.1634,12.3655,-44.1647,-37.0933,-7.0713,27.437,1830.0221,1554.2993,-275.7228,268.7794,40050.1599,-40188.0909,10.7871,12.9037,1.1962,0.639,27.437,class2_2026_04_27_15_35_57.csv,train,background,
140.391,439,0.702879,-49.9,-41.1634,12.3655,-42.6404,-35.5513,-7.0891,27.437,2824.3707,1778.3663,-1046.0044,-2552.2444,40050.1599,-40188.0909,11.7633,12.9395,1.1,0.0,27.437,class2_2026_04_27_15_35_57.csv,train,background,
140.71,440,0.704476,-24.26,-41.1634,12.3655,-42.6404,-36.9758,-5.6646,27.437,1361.0127,4295.2455,2934.2329,-0.0,2954.547,-40188.0909,11.7633,13.0291,1.1076,0.638,27.437,class2_2026_04_27_15_35_57.csv,train,background,
141.348,442,0.707671,-49.9,-40.9177,12.7144,-41.2159,-35.372,-5.8439,27.764,157.6658,3956.6726,3799.0068,-0.0,268.7794,-3034.4843,12.3364,13.1159,1.0632,0.0,27.764,class2_2026_04_27_15_35_57.csv,train,background,
142.943,447,0.715656,-24.072,-38.2006,13.1761,-40.9022,-36.8297,-4.0725,29.003,-1144.2549,-206.5558,937.6991,35579.9389,43517.2445,-45459.2524,12.7393,13.1886,1.0353,1.276,29.003,class2_2026_04_27_15_35_57.csv,train,background,
143.262,448,0.717253,-27.2,-38.2006,13.1761,-39.4673,-38.0908,-1.3765,29.003,1818.5789,-807.0656,-2625.6444,4976.4922,43517.2445,-45459.2524,13.0946,13.2924,1.0151,1.276,29.003,class2_2026_04_27_15_35_57.csv,train,background,
143.9,450,0.720447,-49.9,-35.9473,12.5917,-38.1713,-38.1868,0.0154,29.003,2655.4387,-2643.8802,-5299.3189,-45459.2524,35579.9389,-45459.2524,13.1673,13.1736,1.0005,0.0,29.003,class2_2026_04_27_15_35_57.csv,train,background,
144.219,451,0.722044,-49.9,-32.7933,12.2524,-39.682,-36.8779,-2.8041,29.003,596.9179,-4699.1128,-5296.0306,-0.0,35579.9389,-2689.6536,12.8629,13.1151,1.0196,0.0,29.003,class2_2026_04_27_15_35_57.csv,train,background,
145.815,456,0.730035,-26.744,-32.5434,12.4275,-36.8555,-39.1297,2.2742,28.868,4295.2455,156.3351,-4138.9104,-987.4592,39028.6741,-45247.652,13.1297,13.5548,1.0324,1.915,28.868,class2_2026_04_27_15_35_57.csv,train,background,
146.134,457,0.731632,-22.144,-32.5434,12.4275,-37.0933,-39.1899,2.0966,28.868,4075.2843,796.154,-3279.1302,-36294.6755,39028.6741,-45247.652,12.9037,13.4814,1.0448,1.915,28.868,class2_2026_04_27_15_35_57.csv,train,background,
146.453,458,0.733229,-49.9,-32.0788,12.7112,-35.5513,-37.7106,2.1593,17.518,3956.6726,1534.0948,-2422.5778,1742.9451,8170.1096,-45247.652,12.9395,13.6844,1.0576,0.0,28.868,class2_2026_04_27_15_35_57.csv,train,background,
148.048,463,0.741215,-49.9,-43.6532,11.6921,-33.8524,-34.6848,0.8324,5.503,-206.5558,5655.7924,5862.3481,-42873.0423,42873.0423,-42873.0423,12.9279,13.6824,1.0584,0.0,28.868,class2_2026_04_27_15_35_57.csv,train,background,
148.686,465,0.744409,-49.9,-41.2124,12.3285,-35.3948,-34.6848,-0.71,4.1895,-589.1208,2559.1509,3148.2718,-0.0,42873.0423,-0.0,13.0932,13.6824,1.045,0.0,27.353,class2_2026_04_27_15_35_57.csv,train,background,
149.963,469,0.750802,-26.341,-37.6901,13.7498,-38.1868,-34.4429,-3.7438,18.471,-4596.5562,-296.4942,4300.0619,4346.3966,42552.0556,-47098.7492,13.1736,13.87,1.0529,1.277,30.049,class2_2026_04_27_15_35_57.csv,train,background,
150.601,471,0.753997,-49.9,-34.7266,13.6729,-35.2086,-34.5634,-0.6452,6.684,187.5605,-922.6285,-1110.189,-47098.7492,42552.0556,-47098.7492,13.2629,13.7517,1.0369,0.0,30.049,class2_2026_04_27_15_35_57.csv,train,background,
150.92,472,0.755594,-49.9,-31.768,12.9302,-36.4958,-34.5634,-1.9324,6.6915,156.3351,-3700.0152,-3856.3503,45462.3856,45462.3856,-3656.7414,13.4998,13.7517,1.0187,0.0,30.049,class2_2026_04_27_15_35_57.csv,train,background,
152.834,478,0.765176,-19.695,-31.6796,12.9342,-37.8795,-35.9914,-1.8881,30.205,5404.716,-2074.1916,-7478.9076,1771.163,41735.1113,-47343.2633,13.4949,13.9196,1.0315,1.914,30.205,class2_2026_04_27_15_35_57.csv,train,background,
153.472,480,0.76837,-49.9,-31.7063,12.917,-34.7038,-37.4891,2.7853,18.4255,5314.4762,1111.5161,-4202.9602,1153.605,5608.152,-43204.1616,13.6653,13.8852,1.0161,0.0,30.205,class2_2026_04_27_15_35_57.csv,train,background,
154.43,483,0.773167,-49.9,-37.6954,13.6575,-34.6848,-39.0277,4.3428,28.758,-1093.6959,-851.2055,242.4904,41427.9028,41427.9028,-45075.2382,13.6824,13.6387,0.9968,0.0,28.758,class2_2026_04_27_15_35_57.csv,train,background,
154.749,484,0.774764,-23.469,-37.5929,13.7709,-34.6848,-40.4961,5.8112,28.758,-1717.0894,-675.166,1041.9234,45075.2382,45075.2382,-45075.2382,13.6824,13.3032,0.9723,0.957,28.758,class2_2026_04_27_15_35_57.csv,train,background,
155.706,487,0.779555,-49.9,-40.67,13.0649,-33.1341,-42.0937,8.9596,28.758,-922.6285,-3139.9868,-2217.3583,43700.6317,45075.2382,-43700.6317,13.455,12.5907,0.9358,0.0,28.758,class2_2026_04_27_15_35_57.csv,train,background,
156.663,490,0.784346,-49.9,-40.5119,13.2783,-34.5634,-40.8022,6.2388,28.652,-4461.2043,-4737.3713,-276.1669,0.0,43700.6317,0.0,13.7517,12.9594,0.9424,0.0,28.652,class2_2026_04_27_15_35_57.csv,train,background,
158.258,495,0.792332,-21.122,-37.3853,13.9978,-35.9907,-39.7268,3.7361,28.778,730.3644,3610.9283,2880.5638,-2210.0345,45106.5862,-44910.3064,13.9371,12.851,0.9221,1.277,28.778,class2_2026_04_27_15_35_57.csv,train,background,
158.897,497,0.795531,-49.9,-40.492,13.311,-35.9914,-41.2402,5.2488,28.778,3531.5049,5702.6738,2171.1689,-42499.0137,45106.5862,-42499.0137,13.9196,12.3459,0.8869,0.0,28.778,class2_2026_04_27_15_35_57.csv,train,background,
160.173,501,0.80192,-49.9,-49.9,0.0,-39.0277,-36.4862,-2.5414,0.0,5.0527,3243.3206,3238.2679,-0.0,0.0,-0.0,13.6387,13.5417,0.9929,0.0,0.0,class2_2026_04_27_15_35_57.csv,train,background,
162.406,508,0.813099,-49.9,-35.3723,13.1766,-40.8022,-34.6222,-6.18,29.615,-990.6999,-1312.3023,-321.6024,-4691.2226,46418.4984,-41553.8326,12.9594,13.7304,1.0595,0.0,29.615,class2_2026_04_27_15_35_57.csv,train,background,
164.321,514,0.822687,-49.9,-35.0296,13.3705,-39.7268,-34.5517,-5.1751,28.979,6207.6052,1126.7102,-5080.8949,-39384.0141,39384.0141,-39384.0141,12.851,13.7772,1.0721,0.0,28.979,class2_2026_04_27_15_35_57.csv,train,background,
166.235,520,0.832269,-20.837,-33.9189,14.3159,-36.4862,-34.672,-1.8142,6.9205,1171.2534,1524.4869,353.2335,-1047.0204,46807.2116,-45760.1912,13.5417,13.6705,1.0095,1.595,29.863,class2_2026_04_27_15_35_57.csv,train,background,
166.873,522,0.835464,-49.9,-34.2028,14.0787,-33.2497,-36.2939,3.0443,5.136,1931.8277,1325.6721,-606.1556,-45760.1912,46807.2116,-45760.1912,13.4295,13.6491,1.0164,0.0,29.863,class2_2026_04_27_15_35_57.csv,train,background,
167.192,523,0.837061,-49.9,-34.2838,14.017,-33.2497,-36.2939,3.0443,5.136,1470.2984,1291.8264,-178.472,-0.0,3656.7398,-405.1912,13.4295,13.6491,1.0164,0.0,29.863,class2_2026_04_27_15_35_57.csv,train,background,
168.788,528,0.845051,-24.817,-35.1846,13.1862,-34.6567,-40.5999,5.9433,28.368,-356.1101,-4296.4496,-3940.3395,3710.0313,41416.931,-39315.0517,13.7026,13.1768,0.9616,1.276,28.368,class2_2026_04_27_15_35_57.csv,train,background,
169.745,531,0.849843,-23.337,-31.8613,12.7964,-34.6315,-42.0873,7.4558,28.368,-1668.0188,-4363.4925,-2695.4737,-0.0,39315.0517,-355.7978,13.716,12.6184,0.92,0.638,28.368,class2_2026_04_27_15_35_57.csv,train,background,
170.702,534,0.854634,-49.9,-34.4519,13.8629,-32.9806,-40.3959,7.4153,30.238,-713.4694,-3715.7157,-3002.2464,-355.7978,2691.221,-43970.2226,13.5479,13.4652,0.9939,0.0,30.238,class2_2026_04_27_15_35_57.csv,train,background,
172.297,539,0.862619,-49.9,-40.5456,13.2687,-34.672,-38.6138,3.9418,30.238,1291.8264,6497.2015,5205.3751,-47469.1565,40594.0486,-47469.1565,13.6705,14.1635,1.0361,0.0,30.238,class2_2026_04_27_15_35_57.csv,train,background,
173.255,542,0.867416,-49.9,-46.5402,9.5029,-36.2939,-35.4114,-0.8826,17.6965,-4271.0623,5924.7732,10195.8355,0.0,0.0,-0.0,13.6491,14.5057,1.0628,0.0,30.238,class2_2026_04_27_15_35_57.csv,train,background,
178.041,557,0.891377,-20.836,-30.5766,13.6952,-40.2285,-43.5938,3.3653,30.455,5596.4065,-4176.6805,-9773.087,-401.2555,47735.1129,-46244.5172,13.6937,11.8077,0.8623,1.595,30.455,class2_2026_04_27_15_35_57.csv,train,background,
178.679,559,0.894571,-21.76,-36.9591,14.4742,-36.9747,-45.5631,8.5883,29.76,5962.3158,-1226.1737,-7188.4895,-46244.5172,45554.8621,-46244.5172,14.4665,9.7673,0.6752,1.595,29.76,class2_2026_04_27_15_35_57.csv,train,background,
179.317,561,0.897766,-49.9,-37.2852,14.1203,-35.4114,-45.5631,10.1517,29.504,2643.9689,-2476.5864,-5120.5554,-0.0,-0.0,-0.0,14.5057,9.7673,0.6733,0.0,29.504,class2_2026_04_27_15_35_57.csv,train,background,
180.593,565,0.904154,-49.9,-43.6924,11.625,-33.9211,-45.3518,11.4307,29.043,-3778.1587,-1282.1961,2495.9626,3476.4906,42045.4561,-45521.9467,14.3174,10.2791,0.7179,0.0,29.043,class2_2026_04_27_15_35_57.csv,train,background,
181.55,568,0.908945,-49.9,-43.6924,11.625,-33.8719,-46.9653,13.0934,29.043,-4292.8842,1962.5334,6255.4177,0.0,3476.4906,-0.0,14.3606,8.4186,0.5862,0.0,29.043,class2_2026_04_27_15_35_57.csv,train,background,
182.508,571,0.913742,-49.9,-49.9,0.0,-37.1345,-43.7868,6.6523,0.0,-5919.7059,188.1724,6107.8783,-0.0,0.0,-0.0,14.2953,11.5371,0.8071,0.0,0.0,class2_2026_04_27_15_35_57.csv,train,background,
184.422,577,0.923324,-27.703,-44.0307,11.1588,-45.2329,-43.489,-1.7439,30.627,-2476.5864,1780.1676,4256.754,-0.0,34791.5408,-34791.5408,10.4426,12.008,1.1499,0.638,30.627,class2_2026_04_27_15_35_57.csv,train,background,
185.06,579,0.926518,-49.9,-44.0307,11.1588,-45.5631,-43.489,-2.0741,30.627,-2236.7857,-802.9752,1433.8105,-0.0,34791.5408,-48079.8285,9.7673,12.008,1.2294,0.0,30.627,class2_2026_04_27_15_35_57.csv,train,background,
185.698,581,0.929713,-19.273,-44.0307,11.1588,-45.5631,-43.5999,-1.9632,30.627,-1282.1961,-643.532,638.664,-0.0,48004.7038,-48079.8285,9.7673,11.7911,1.2072,0.638,30.627,class2_2026_04_27_15_35_57.csv,train,background,
186.337,583,0.932912,-49.9,-43.4026,12.1732,-45.3518,-40.6253,-4.7266,30.627,2554.0896,-297.3778,-2851.4674,-0.0,48004.7038,-0.0,10.2791,13.1513,1.2794,0.0,30.627,class2_2026_04_27_15_35_57.csv,train,background,
186.656,584,0.934509,-49.9,-40.1399,13.8184,-45.3518,-39.2218,-6.1301,30.627,1962.5334,-1566.8486,-3529.382,0.0,48004.7038,-43652.0423,10.2791,13.4317,1.3067,0.0,30.627,class2_2026_04_27_15_35_57.csv,train,background,
187.613,587,0.9393,-22.05,-40.481,13.3283,-46.9653,-37.7006,-9.2647,29.364,188.1724,2368.659,2180.4866,46025.0831,46025.0831,-43652.0423,8.4186,13.6841,1.6255,0.957,29.364,class2_2026_04_27_15_35_57.csv,train,background,
188.889,591,0.945689,-49.9,-40.481,13.3283,-42.2558,-37.5846,-4.6713,29.364,2872.3447,6738.3789,3866.0341,-43192.7931,46025.0831,-43192.7931,12.419,13.8249,1.1132,0.0,29.364,class2_2026_04_27_15_35_57.csv,train,background,
189.846,594,0.95048,-49.9,-43.6569,11.6825,-42.2558,-32.7857,-9.4701,28.631,488.6919,2693.6185,2204.9266,0.0,0.0,-280.4761,12.419,13.7162,1.1045,0.0,28.631,class2_2026_04_27_15_35_57.csv,train,background,
192.08,601,0.961665,-25.494,-31.8258,12.857,-41.9812,-32.7719,-9.2093,29.137,-552.6801,-799.2551,-246.575,-6072.0987,44665.9329,-39597.1834,12.7741,13.709,1.0732,1.595,29.137,class2_2026_04_27_15_35_57.csv,train,background,
193.356,605,0.968053,-22.196,-31.6878,12.9808,-37.6925,-34.1548,-3.5377,18.156,3495.6737,-1033.5939,-4529.2676,44907.5251,44907.5251,-44907.5251,13.6934,14.1213,1.0313,0.957,30.359,class2_2026_04_27_15_35_57.csv,train,background,
193.994,607,0.971247,-49.9,-30.7867,13.5408,-37.7402,-34.1184,-3.6218,18.156,6738.3789,-2156.9012,-8895.2801,-44907.5251,44907.5251,-44907.5251,13.6353,14.1553,1.0381,0.0,30.359,class2_2026_04_27_15_35_57.csv,train,background,
194.951,610,0.976038,-20.286,-30.8798,13.4995,-37.5846,-34.9603,-2.6242,30.359,2693.6185,-3034.046,-5727.6645,-3438.873,47584.6426,-44219.1167,13.8249,14.0076,1.0132,1.596,30.359,class2_2026_04_27_15_35_57.csv,train,background,
21.697,67,0.108628,-15.349,-15.1558,0.3928,-14.6044,-14.6026,-0.0019,-0.0045,-94.8548,265.6874,360.5422,97.1787,97.1787,34.4828,0.2757,0.4356,1.5799,0.0,1.149,class3_2026_05_14_12_59_21.csv,train,background,
102.421,320,0.512779,-20.992,-31.8793,13.0846,-15.6648,-43.8924,28.2276,1.548,-3293.2122,-1165.1442,2128.0679,-30103.4514,912.2273,-45310.3464,5.3273,11.254,2.1125,0.0,29.715,class3_2026_05_14_12_59_21.csv,train,break,99.87
103.698,324,0.519173,-49.9,-43.7434,11.5318,-21.5346,-40.6115,19.0769,1.057,-5767.8238,2305.6343,8073.4581,-41343.0147,41537.6207,-41343.0147,10.9954,13.157,1.1966,0.0,28.908,class3_2026_05_14_12_59_21.csv,train,background,
104.336,326,0.522367,-49.9,-43.7953,11.4299,-25.7941,-39.05,13.2559,1.286,-7895.1078,4551.4155,12446.5233,0.0,41537.6207,-44578.373,13.4572,13.6217,1.0122,0.0,28.441,class3_2026_05_14_12_59_21.csv,train,background,
105.293,329,0.527158,-21.459,-46.7399,8.9381,-31.7828,-39.0554,7.2726,18.838,-8658.5129,6335.6886,14994.2015,0.0,44578.373,-44578.373,14.7889,13.6147,0.9206,0.638,28.441,class3_2026_05_14_12_59_21.csv,train,background,
105.931,331,0.530352,-49.9,-46.7399,8.9381,-33.9928,-39.0554,5.0626,28.441,-5795.0197,2601.1008,8396.1205,0.0,44578.373,0.0,14.4754,13.6147,0.9405,0.0,28.441,class3_2026_05_14_12_59_21.csv,train,background,
106.569,333,0.533547,-49.9,-43.6407,11.7109,-37.553,-39.0554,1.5024,28.441,-4555.9061,769.5576,5325.4637,0.0,0.0,0.0,14.0003,13.6147,0.9725,0.0,28.441,class3_2026_05_14_12_59_21.csv,train,background,
109.122,341,0.546328,-21.749,-31.3601,13.1507,-42.3474,-40.3982,-1.9492,29.597,3570.8724,-1611.1354,-5182.0078,2802.5094,44123.826,-44123.826,12.1929,13.4494,1.103,1.276,29.597,class3_2026_05_14_12_59_21.csv,train,background,
110.079,344,0.55112,-21.793,-34.1213,14.1205,-40.6115,-42.0044,1.3929,29.597,3458.7336,1490.4629,-1968.2707,0.0,44123.826,-44426.3354,13.157,12.7408,0.9684,0.638,29.597,class3_2026_05_14_12_59_21.csv,train,background,
111.674,349,0.559105,-49.9,-43.4343,12.1013,-39.0554,-35.8331,-3.2223,29.847,769.5576,4242.2836,3472.7261,0.0,44426.3354,0.0,13.6147,14.1017,1.0358,0.0,29.847,class3_2026_05_14_12_59_21.csv,train,background,
111.993,350,0.560702,-49.9,-40.3016,13.5811,-39.0554,-35.8331,-3.2223,29.847,-1415.384,4322.3993,5737.7833,0.0,44426.3354,-46782.1364,13.6147,14.1017,1.0358,0.0,29.847,class3_2026_05_14_12_59_21.csv,train,background,
112.951,353,0.565499,-20.053,-43.4509,12.0715,-39.0554,-35.976,-3.0794,29.847,-5474.3958,3660.1556,9134.5515,43969.5641,46562.9595,-46782.1364,13.6147,13.9533,1.0249,0.958,29.847,class3_2026_05_14_12_59_21.csv,train,background,
113.589,355,0.568693,-49.9,-40.4573,13.3716,-35.8308,-37.5424,1.7116,29.847,-2454.8347,1499.3674,3954.2022,-44192.7931,46562.9595,-44192.7931,14.0954,13.8455,0.9823,0.0,29.847,class3_2026_05_14_12_59_21.csv,train,background,
113.908,356,0.57029,-49.9,-40.4573,13.3716,-37.3804,-37.5424,0.1619,29.847,-2203.9039,1451.9491,3655.853,0.0,46562.9595,-42228.8433,14.0235,13.8455,0.9873,0.0,29.847,class3_2026_05_14_12_59_21.csv,train,background,
116.141,363,0.58147,-19.908,-28.2152,11.6591,-42.0044,-35.0807,-6.9238,29.992,2478.9289,-3328.8875,-5807.8164,805.6426,47009.406,-43491.9972,12.7408,13.3399,1.047,2.234,29.992,class3_2026_05_14_12_59_21.csv,train,background,
117.418,367,0.587863,-23.225,-31.3774,13.1518,-37.315,-38.6613,1.3463,29.992,4268.3788,4298.1634,29.7847,-43491.9972,1470.1119,-43491.9972,14.1005,12.6786,0.8992,2.234,29.992,class3_2026_05_14_12_59_21.csv,train,background,
118.056,369,0.591057,-49.9,-37.9661,13.3515,-35.8331,-37.0674,1.2344,16.578,3660.1556,4051.5038,391.3481,0.0,1470.1119,-42749.221,14.1017,12.9657,0.9194,0.0,27.711,class3_2026_05_14_12_59_21.csv,train,background,
119.332,373,0.597446,-49.9,-43.7017,11.5997,-37.5424,-35.2974,-2.2449,17.378,-1037.4693,1931.3414,2968.8107,0.0,42749.221,-7742.9467,13.8455,13.2432,0.9565,0.0,28.511,class3_2026_05_14_12_59_21.csv,train,background,
121.565,380,0.608625,-21.513,-30.4531,10.6432,-34.8828,-39.3316,4.4488,28.511,-1036.6486,-2624.3465,-1587.6979,6429.4655,35631.6646,-44300.4817,13.5389,13.394,0.9893,1.596,28.511,class3_2026_05_14_12_59_21.csv,train,background,
122.523,383,0.613422,-27.634,-33.0522,12.125,-36.7088,-37.9423,1.2336,28.69,4298.1634,-4014.3414,-8312.5048,35609.721,35609.721,-34899.6881,13.2606,13.5544,1.0222,0.957,28.69,class3_2026_05_14_12_59_21.csv,train,background,
123.48,386,0.618213,-21.21,-35.1434,13.4334,-38.6613,-39.2593,0.5979,30.046,1786.9376,1367.2756,-419.662,0.0,35609.721,-0.0,12.6786,13.4803,1.0632,0.638,30.046,class3_2026_05_14_12_59_21.csv,train,background,
124.118,388,0.621407,-20.812,-37.6174,13.866,-37.0674,-39.2039,2.1364,30.046,1932.391,2164.8941,232.5031,0.0,9358.9357,-47094.047,12.9657,13.5578,1.0457,0.638,30.046,class3_2026_05_14_12_59_21.csv,train,background,
124.437,389,0.623004,-49.9,-36.7431,14.7184,-35.4514,-37.8621,2.4107,19.9095,1931.3414,346.976,-1584.3654,1501.5674,9358.9357,-47094.047,13.0778,13.6278,1.0421,0.0,30.588,class3_2026_05_14_12_59_21.csv,train,background,
126.351,395,0.632587,-49.9,-44.1283,11.0148,-35.1821,-36.3592,1.1771,8.7765,-2719.2905,568.1989,3287.4894,0.0,47943.5768,-0.0,13.3723,13.6972,1.0243,0.0,30.588,class3_2026_05_14_12_59_21.csv,train,background,
126.671,396,0.634189,-49.9,-40.9547,12.8557,-35.1821,-36.3592,1.1771,8.7765,-2624.3465,845.299,3469.6455,-0.0,47943.5768,-0.0,13.3723,13.6972,1.0243,0.0,30.588,class3_2026_05_14_12_59_21.csv,train,background,
