m,candidate_idx,m_norm,db_at_event,local_mean_db,local_std_db,pre_mean_db,post_mean_db,loss_dB,peak_above_bg_dB,pre_slope_dB_per_km,post_slope_dB_per_km,slope_change_dB_per_km,derivative_at_event_dB_per_km,max_pre_derivative,min_post_derivative,pre_std_db,post_std_db,post_to_pre_std_ratio,peak_width_m,local_range_db,file,split,label,gt_m
149.644,468,0.749205,-49.9,-37.6469,13.7713,-36.0863,-32.8909,-3.1954,5.793,270.7731,-887.8176,-1158.5907,-46229.1062,46446.7116,-46229.1062,12.8459,13.6325,1.0612,0.0,29.633,class2_2026_04_27_15_49_00.csv,train,background,
149.963,469,0.750802,-49.9,-34.4908,13.8561,-37.4946,-31.2727,-6.2219,5.793,-583.9172,-1439.6063,-855.6891,45448.2806,46446.7116,-7545.4561,12.8935,13.2406,1.0269,0.0,29.633,class2_2026_04_27_15_49_00.csv,train,background,
151.877,475,0.760385,-21.417,-31.6023,13.0463,-36.3743,-34.0833,-2.291,6.555,4082.6854,-989.4498,-5072.1352,7681.8197,44521.9451,-44644.2038,13.6046,14.1771,1.0421,0.957,30.395,class2_2026_04_27_15_49_00.csv,train,background,
152.834,478,0.765176,-22.18,-34.2491,14.0492,-36.2026,-35.8329,-0.3697,18.646,4046.4034,972.0767,-3074.3267,0.0,7681.8197,-45158.3358,13.7942,14.0937,1.0217,0.638,30.395,class2_2026_04_27_15_49_00.csv,train,background,
153.153,479,0.766773,-49.9,-34.136,14.1318,-35.9681,-34.6052,-1.3628,7.255,3721.7295,521.4857,-3200.2438,1639.4969,7681.8197,-45158.3358,13.9933,13.7737,0.9843,0.0,30.395,class2_2026_04_27_15_49_00.csv,train,background,
154.111,482,0.77157,-49.9,-34.3212,13.9485,-34.3699,-31.6652,-2.7047,2.8085,-307.5562,-3030.014,-2722.4578,41619.8932,41619.8932,-44697.4969,13.9535,13.0105,0.9324,0.0,28.766,class2_2026_04_27_15_49_00.csv,train,background,
154.749,484,0.774764,-21.383,-30.9026,13.4547,-32.8971,-33.236,0.3389,3.4025,-887.8176,753.2231,1641.0407,3420.0643,44697.4969,-45655.1771,13.632,13.4027,0.9832,0.957,29.36,class2_2026_04_27_15_49_00.csv,train,background,
156.025,488,0.781152,-20.54,-34.1311,14.1289,-31.2727,-36.5874,5.3147,3.6435,-1457.5151,1736.8639,3194.379,-45655.1771,46018.8103,-46018.8103,13.2406,13.3941,1.0116,0.957,29.36,class2_2026_04_27_15_49_00.csv,train,background,
156.663,490,0.784346,-49.9,-34.2646,14.0245,-31.2524,-34.9221,3.6697,3.4305,-656.9978,-921.5464,-264.5487,41098.7476,46018.8103,-46062.7006,13.2567,13.4984,1.0182,0.0,29.388,class2_2026_04_27_15_49_00.csv,train,background,
157.62,493,0.789138,-20.512,-38.3079,13.0761,-34.1336,-36.4471,2.3136,5.3695,-1295.1306,-1388.5053,-93.3747,41727.2759,41727.2759,-46062.7006,14.1304,13.5439,0.9585,0.638,29.388,class2_2026_04_27_15_49_00.csv,train,background,
158.258,495,0.792332,-49.9,-32.1138,12.7461,-34.2929,-37.9261,3.6332,18.722,521.4857,-3497.7819,-4019.2677,-41727.2759,41727.2759,-41727.2759,13.9866,13.4785,0.9637,0.0,29.771,class2_2026_04_27_15_49_00.csv,train,background,
158.577,496,0.793929,-49.9,-32.1451,12.7256,-34.2929,-36.1612,1.8683,5.7525,263.5492,-3388.6849,-3652.234,34474.0935,41727.2759,-46663.0125,13.9866,13.8693,0.9916,0.0,29.771,class2_2026_04_27_15_49_00.csv,train,background,
159.535,499,0.798725,-20.129,-35.3957,13.1008,-34.7602,-37.2522,2.4919,18.722,-1379.6379,-380.4306,999.2073,-57.9937,40561.9757,-46663.0125,13.6363,14.197,1.0411,1.596,29.771,class2_2026_04_27_15_49_00.csv,train,background,
160.173,501,0.80192,-49.9,-32.4116,12.5022,-31.6652,-38.6932,7.028,5.7525,2587.2157,315.5331,-2271.6827,1278.9969,40561.9757,-41935.7398,13.0105,14.0908,1.083,0.0,29.771,class2_2026_04_27_15_49_00.csv,train,background,
160.492,502,0.803517,-23.145,-34.8669,13.4869,-33.1381,-40.1796,7.0415,29.771,-149.3806,3163.135,3312.5156,0.0,12026.6458,-41935.7398,13.4822,13.78,1.0221,0.638,29.771,class2_2026_04_27_15_49_00.csv,train,background,
161.768,506,0.809905,-49.9,-40.6126,13.1627,-34.9563,-40.1913,5.235,29.975,-921.5464,-1964.2267,-1042.6802,4887.1473,42095.616,-46982.7633,13.4611,13.7656,1.0226,0.0,29.975,class2_2026_04_27_15_49_00.csv,train,background,
162.725,509,0.814696,-49.9,-40.4566,13.3754,-34.9221,-38.8671,3.9449,29.975,-1388.5053,-1793.5921,-405.0867,-0.0,4887.1473,-44136.3683,13.4984,13.8775,1.0281,0.0,29.975,class2_2026_04_27_15_49_00.csv,train,background,
164.321,514,0.822687,-18.131,-36.7739,14.7131,-37.9261,-37.6678,-0.2583,31.769,-3661.2506,2722.5614,6383.812,43793.1082,49794.6724,-49794.6724,13.4785,13.6983,1.0163,0.957,31.769,class2_2026_04_27_15_49_00.csv,train,background,
165.597,518,0.829075,-49.9,-39.9027,14.1676,-37.2522,-39.4789,2.2268,31.769,3163.135,4468.4206,1305.2857,-47440.4436,43793.1082,-47440.4436,14.197,13.0705,0.9207,0.0,31.769,class2_2026_04_27_15_49_00.csv,train,background,
166.235,520,0.832269,-49.9,-43.5762,11.8614,-38.6932,-38.0694,-0.6238,30.267,-753.0016,270.0367,1023.0383,0.0,3647.3354,-0.0,14.0908,13.2377,0.9395,0.0,30.267,class2_2026_04_27_15_49_00.csv,train,background,
167.511,524,0.838658,-49.9,-37.9967,13.3118,-40.1913,-34.938,-5.2533,27.529,-172.5482,-1602.9805,-1430.4324,1382.4451,41766.4608,-1687.9235,13.7656,13.4239,0.9752,0.0,27.529,class2_2026_04_27_15_49_00.csv,train,background,
167.83,525,0.840255,-22.371,-34.9896,13.3401,-40.1913,-34.9081,-5.2832,27.529,-1793.5921,-1528.588,265.004,269.6807,41766.4608,-41805.6442,13.7656,13.4524,0.9773,0.639,27.529,class2_2026_04_27_15_49_00.csv,train,background,
168.788,528,0.845051,-23.228,-34.8639,13.4549,-38.8671,-34.9693,-3.8977,27.778,-218.7434,2917.8903,3136.6337,1225.7053,41805.6442,-42420.0658,13.8775,13.429,0.9677,1.276,27.778,class2_2026_04_27_15_49_00.csv,train,background,
169.426,530,0.848245,-49.9,-35.0774,13.2689,-37.4461,-35.1443,-2.3018,16.1165,2722.5614,2704.3802,-18.1812,-42420.0658,41805.6442,-43539.1881,13.9776,13.2896,0.9508,0.0,27.778,class2_2026_04_27_15_49_00.csv,train,background,
170.064,532,0.85144,-22.122,-37.9977,13.3175,-37.4461,-33.7764,-3.6697,4.1595,1229.794,3743.237,2513.443,40136.3683,43539.1881,-43539.1881,13.9776,12.9745,0.9282,0.638,27.778,class2_2026_04_27_15_49_00.csv,train,background,
170.702,534,0.854634,-49.9,-41.1492,12.3913,-37.7974,-32.8638,-4.9337,4.1595,4468.4206,2876.0737,-1592.3469,-40136.3683,43539.1881,-40136.3683,13.5594,12.411,0.9153,0.0,27.778,class2_2026_04_27_15_49_00.csv,train,background,
171.021,535,0.856231,-49.9,-38.1176,13.1914,-37.7974,-32.8638,-4.9337,4.1595,2369.2726,2461.3058,92.0332,-0.0,43539.1881,-39562.9726,13.5594,12.411,0.9153,0.0,27.778,class2_2026_04_27_15_49_00.csv,train,background,
173.574,543,0.869013,-21.833,-29.1394,11.2945,-34.938,-32.8486,-2.0894,6.4,742.7882,312.8421,-429.9461,-2855.7994,47572.1034,-43992.1661,13.4239,12.424,0.9255,1.276,30.351,class2_2026_04_27_15_49_00.csv,train,background,
174.212,545,0.872207,-49.9,-29.5094,11.128,-33.3232,-34.4335,1.1103,6.4,5148.3933,-1263.5057,-6411.8989,-8159.8746,47572.1034,-36556.4295,13.2721,12.6759,0.9551,0.0,30.351,class2_2026_04_27_15_49_00.csv,train,background,
174.531,546,0.873804,-26.577,-29.1684,11.3209,-34.7833,-34.1756,-0.6077,6.4,2704.3802,-2291.0133,-4995.3936,37482.7618,37482.7618,-36556.4295,13.5665,12.8787,0.9493,0.0,30.351,class2_2026_04_27_15_49_00.csv,train,background,
175.807,550,0.880192,-21.455,-31.4979,10.3683,-33.8135,-36.9432,3.1297,4.8265,2876.0737,-3928.5732,-6804.6469,3946.7085,44584.6426,-41493.7335,12.9402,13.253,1.0242,0.957,28.445,class2_2026_04_27_15_49_00.csv,train,background,
176.445,552,0.883387,-34.338,-30.3501,11.1436,-33.7283,-36.0451,2.3167,5.5635,1573.5645,-2716.9561,-4290.5207,-41493.7335,44584.6426,-41493.7335,13.0111,13.9044,1.0687,0.0,29.494,class2_2026_04_27_15_49_00.csv,train,background,
176.764,553,0.884984,-49.9,-27.2189,8.9547,-32.8638,-34.6856,1.8218,5.543,-465.6381,-4857.9055,-4392.2675,13142.6364,44584.6426,-46228.8433,12.411,13.6778,1.1021,0.0,29.494,class2_2026_04_27_15_49_00.csv,train,background,
177.722,556,0.88978,-20.406,-32.9792,12.568,-29.9738,-37.5384,7.5647,5.543,-1365.8847,2382.4092,3748.2939,169.279,44030.0113,-46228.8433,11.0839,13.8681,1.2512,1.277,29.494,class2_2026_04_27_15_49_00.csv,train,background,
178.679,559,0.894571,-22.87,-37.3691,14.0221,-29.695,-37.4455,7.7505,5.543,312.8421,3523.0817,3210.2396,-0.0,8667.5427,-42366.7727,11.269,13.9742,1.2401,0.638,29.494,class2_2026_04_27_15_49_00.csv,train,background,
179.317,561,0.897766,-49.9,-40.6582,13.073,-31.2893,-36.3339,5.0446,4.2505,-1263.5057,3926.4477,5189.9533,-0.0,-0.0,-2300.942,11.9379,13.733,1.1504,0.0,28.181,class2_2026_04_27_15_49_00.csv,train,background,
180.593,565,0.904154,-49.9,-40.6996,13.0195,-34.1756,-34.7143,0.5387,4.4115,-3843.3395,-1949.052,1894.2875,-2300.942,43832.2931,-41531.3511,12.8787,13.7554,1.0681,0.0,28.342,class2_2026_04_27_15_49_00.csv,train,background,
180.912,566,0.905751,-23.403,-37.3818,14.0185,-35.5042,-34.6251,-0.8791,7.882,-3928.5732,257.4971,4186.0703,0.0,43832.2931,-41531.3511,13.1949,13.8334,1.0484,0.638,29.86,class2_2026_04_27_15_49_00.csv,train,background,
182.189,570,0.912144,-20.04,-34.4187,13.9384,-36.8394,-34.8402,-1.9992,12.3765,-2631.8091,-522.7171,2109.0921,-6067.3981,46598.1078,-46802.5094,13.3653,13.6282,1.0197,1.277,30.162,class2_2026_04_27_15_49_00.csv,train,background,
183.146,573,0.916936,-19.738,-31.0423,13.4265,-36.0159,-36.2487,0.2327,20.1575,2752.4273,1589.3871,-1163.0402,-0.0,46598.1078,-45979.6254,13.926,13.7836,0.9898,0.638,30.162,class2_2026_04_27_15_49_00.csv,train,background,
183.465,574,0.918533,-49.9,-34.1914,14.1376,-35.8999,-34.7429,-1.157,7.922,3278.1205,-832.8784,-4110.9989,-4095.6097,8920.0627,-45979.6254,14.0519,13.6901,0.9743,0.0,30.162,class2_2026_04_27_15_49_00.csv,train,background,
184.741,578,0.924921,-49.9,-38.1599,13.3624,-37.4455,-35.3011,-2.1444,19.3305,1417.6646,1199.3203,-218.3443,31362.0705,45979.6254,-933.9195,13.9742,13.2331,0.947,0.0,29.335,class2_2026_04_27_15_49_00.csv,train,background,
186.017,582,0.93131,-49.9,-38.2079,13.296,-34.7357,-38.0109,3.2753,18.7635,257.4971,-2700.9743,-2958.4713,-933.9195,31362.0705,-44435.7414,13.7352,13.3668,0.9732,0.0,28.768,class2_2026_04_27_15_49_00.csv,train,background,
186.975,585,0.936106,-49.9,-34.3943,13.8773,-34.6251,-38.1272,3.5021,18.7635,-435.9354,-3882.6802,-3446.7447,-44047.0251,43838.2329,-44047.0251,13.8334,13.2284,0.9563,0.0,28.768,class2_2026_04_27_15_49_00.csv,train,background,
187.294,586,0.937703,-49.9,-34.3374,13.9325,-34.6251,-37.0635,2.4384,9.702,-522.7171,-3541.6047,-3018.8877,42887.1505,43838.2329,-42887.1505,13.8334,13.0069,0.9403,0.0,29.28,class2_2026_04_27_15_49_00.csv,train,background,
188.57,590,0.944091,-20.62,-34.8802,13.4827,-36.1997,-37.0013,0.8017,19.7065,-832.8784,1936.4497,2769.3281,0.0,42887.1505,-42482.7618,13.8405,13.0765,0.9448,0.638,29.28,class2_2026_04_27_15_49_00.csv,train,background,
188.889,591,0.945689,-49.9,-34.8802,13.4827,-34.573,-35.3531,0.7801,8.089,1505.0159,-28.9968,-1534.0127,-3410.6567,42271.163,-42482.7618,13.8553,13.2158,0.9538,0.0,29.28,class2_2026_04_27_15_49_00.csv,train,background,
189.527,593,0.948883,-25.437,-38.4311,12.9405,-34.7429,-36.6716,1.9287,9.702,1699.7172,5084.5623,3384.845,-42482.7618,38343.2633,-42482.7618,13.6901,13.4262,0.9807,0.957,29.28,class2_2026_04_27_15_49_00.csv,train,background,
191.123,598,0.956873,-49.9,-41.3742,12.129,-36.4127,-31.8358,-4.5769,2.401,-2700.9743,2286.6932,4987.6675,0.0,35067.4013,-42089.3433,13.5681,12.9483,0.9543,0.0,27.506,class2_2026_04_27_15_49_00.csv,train,background,
192.718,603,0.964859,-49.9,-35.5622,13.066,-38.1272,-30.1051,-8.0221,3.076,-1000.4523,2061.3682,3061.8205,-13101.8824,43112.8574,-30010.9749,13.2284,12.4705,0.9427,0.0,28.181,class2_2026_04_27_15_49_00.csv,train,background,
194.313,608,0.972844,-20.704,-31.9689,13.0069,-36.9967,-33.8176,-3.1791,8.698,2575.0581,-3189.6682,-5764.7263,3628.5282,45761.7586,-45761.7586,13.0823,13.5771,1.0378,1.276,29.668,class2_2026_04_27_15_49_00.csv,train,background,
22.016,68,0.110225,-15.633,-14.8323,0.3747,-14.5342,-14.4739,-0.0603,0.059,-70.7626,41.3891,112.1516,819.7492,819.7492,175.5486,0.2164,0.2032,0.9389,0.0,1.205,class2_2026_04_27_15_38_41.csv,train,background,
78.172,244,0.391375,-17.146,-16.7653,0.349,-16.5318,-16.5027,-0.0291,0.323,-90.8251,-20.583,70.2421,998.431,998.431,-53.2931,0.3763,0.2729,0.7253,0.0,1.232,class2_2026_04_27_15_38_41.csv,train,background,
127.628,399,0.63898,-7.833,-10.693,2.7717,-15.7957,-15.3486,-0.4471,8.699,1186.0781,-2842.6105,-4028.6886,634.7962,9432.6019,-2753.9185,2.2324,4.212,1.8868,2.871,8.516,class2_2026_04_27_15_38_41.csv,train,connector,127.63
129.223,404,0.646966,-11.704,-11.6146,2.1705,-13.724,-20.2294,6.5054,8.4745,2298.3278,-2167.3651,-4465.6929,-3263.3229,-2053.2915,-3263.3229,3.6121,7.8637,2.177,2.871,6.862,class2_2026_04_27_15_38_41.csv,train,background,
131.457,411,0.65815,-17.784,-17.8664,2.4445,-12.7153,-24.7743,12.0589,4.3745,-1420.7132,-1102.4015,318.3118,-3902.8197,-2932.6019,-3902.8197,3.0973,9.0366,2.9176,0.0,7.141,class2_2026_04_27_15_38_41.csv,train,break,131.46
133.69,418,0.66933,-22.971,-24.3698,9.1279,-15.3486,-29.7781,14.4294,0.75,-2416.3829,-1983.684,432.699,-1609.7179,2072.1019,-42208.4655,4.212,12.5592,2.9818,0.0,30.417,class2_2026_04_27_15_38_41.csv,train,background,
134.328,420,0.672524,-49.9,-24.8724,9.0472,-16.8399,-29.8783,13.0384,1.4555,-2167.3651,-4062.1074,-1894.7422,-4139.4969,1020.3777,-4139.4969,3.9651,12.4978,3.1519,0.0,30.417,class2_2026_04_27_15_38_41.csv,train,background,
135.285,423,0.677316,-25.424,-25.509,8.796,-20.2294,-32.7996,12.5702,1.9285,-2992.3526,-2636.8704,355.4822,-2388.7147,47675.5517,-2388.7147,7.8637,13.6722,1.7386,0.0,30.417,class2_2026_04_27_15_38_41.csv,train,background,
135.604,424,0.678913,-21.007,-25.6342,8.7423,-20.9369,-33.4549,12.5181,2.5365,-2705.7719,-957.9612,1747.8107,1734.3694,47675.5517,-43716.3025,7.7252,13.3706,1.7308,0.0,30.417,class2_2026_04_27_15_38_41.csv,train,background,
136.881,428,0.685306,-22.373,-31.5271,13.0172,-22.6948,-34.6917,11.9969,1.113,-641.044,1373.0459,2014.0899,-43716.3025,3653.6034,-43716.3025,6.9257,13.8597,2.0012,0.0,28.893,class2_2026_04_27_15_38_41.csv,train,background,
137.2,429,0.686903,-49.9,-31.4112,13.1146,-22.9901,-34.6917,11.7017,2.2835,-196.4329,-1032.7701,-836.3372,-43145.7727,3653.6034,-43145.7727,6.7911,13.8597,2.0409,0.0,29.936,class2_2026_04_27_15_38_41.csv,train,background,
138.157,432,0.691695,-49.9,-34.0471,14.2003,-26.5887,-33.2009,6.6123,2.398,-2308.8547,-1824.6519,484.2027,3238.2445,43683.3871,-46921.6317,10.5321,13.5846,1.2898,0.0,29.936,class2_2026_04_27_15_38_41.csv,train,background,
140.071,438,0.701277,-49.9,-35.4987,13.3117,-29.8783,-36.6642,6.7858,3.8665,-1426.1216,504.1537,1930.2754,2036.5031,42083.0737,-44393.4201,12.4978,13.479,1.0785,0.0,29.653,class2_2026_04_27_15_38_41.csv,train,background,
141.029,441,0.706073,-49.9,-35.544,13.2623,-31.4398,-36.6988,5.259,4.368,-1791.4636,-4326.5769,-2535.1133,26797.8072,26797.8072,-26797.8072,13.1094,13.4409,1.0253,0.0,29.386,class2_2026_04_27_15_38_41.csv,train,background,
142.624,446,0.714059,-20.504,-32.3298,12.8993,-34.7956,-39.4083,4.6127,29.396,-1136.3631,-1168.5551,-32.192,-46059.5643,46075.2382,-46059.5643,13.7597,13.1732,0.9574,0.957,29.396,class2_2026_04_27_15_38_41.csv,train,background,
144.857,453,0.725239,-49.9,-41.0376,12.5657,-33.5252,-40.7211,7.1959,27.972,3171.5339,325.7526,-2845.7813,-42987.2334,42920.0658,-42987.2334,13.3279,13.0065,0.9759,0.0,27.972,class2_2026_04_27_15_38_41.csv,train,background,
145.496,455,0.728438,-49.9,-41.0679,12.5198,-35.1726,-37.6732,2.5006,19.1505,373.051,2666.0995,2293.0485,0.0,42920.0658,-0.0,13.4172,13.6944,1.0207,0.0,27.699,class2_2026_04_27_15_38_41.csv,train,background,
147.091,460,0.736423,-49.9,-40.7492,12.9476,-36.6988,-31.7382,-4.9606,3.174,-4515.7555,5397.1429,9912.8983,-1901.2539,43415.3636,-41514.1097,13.4409,12.9625,0.9644,0.0,28.172,class2_2026_04_27_15_38_41.csv,train,background,
