model,cv_f1_macro_train_mean,cv_f1_macro_train_std,val_accuracy,val_f1_macro,val_f1_weighted,val_precision_macro,val_recall_macro,bend_precision,bend_recall,bend_f1,bend_support,connector_precision,connector_recall,connector_f1,connector_support,break_precision,break_recall,break_f1,break_support
DecisionTree,0.9893872323924372,0.0083628257505049,0.9897260273972602,0.9898839697401712,0.9897151573788022,0.9915343915343916,0.988334347737878,1.0,0.9838709677419355,0.991869918699187,62,0.9841269841269841,1.0,0.992,124,0.9904761904761905,0.9811320754716981,0.985781990521327,106
RandomForest,0.9971053020233349,0.00578939595333039,0.9897260273972602,0.9898839697401712,0.9897151573788022,0.9915343915343916,0.988334347737878,1.0,0.9838709677419355,0.991869918699187,62,0.9841269841269841,1.0,0.992,124,0.9904761904761905,0.9811320754716981,0.985781990521327,106
ExtraTrees,0.9960766785984145,0.005638640067594591,0.9897260273972602,0.9898839697401712,0.9897151573788022,0.9915343915343916,0.988334347737878,1.0,0.9838709677419355,0.991869918699187,62,0.9841269841269841,1.0,0.992,124,0.9904761904761905,0.9811320754716981,0.985781990521327,106
GradientBoosting,0.9985447525708133,0.0029104948583732696,0.9897260273972602,0.9898819776714514,0.9896933866421971,0.9894179894179894,0.9905660377358491,0.9841269841269841,1.0,0.992,62,0.9841269841269841,1.0,0.992,124,1.0,0.9716981132075472,0.9856459330143541,106
LogisticRegression,0.9902429620384045,0.00709453394983381,0.9828767123287672,0.9809886759581882,0.9830024521502555,0.9770657393608214,0.9856461756948671,0.9393939393939394,1.0,0.96875,62,0.9918032786885246,0.9758064516129032,0.983739837398374,124,1.0,0.9811320754716981,0.9904761904761905,106
SVM_RBF,0.9843841556419747,0.007256078876658976,0.976027397260274,0.9728329424186736,0.9762192765423381,0.9688180506362324,0.977581659565835,0.9242424242424242,0.9838709677419355,0.953125,62,0.9917355371900827,0.967741935483871,0.9795918367346939,124,0.9904761904761905,0.9811320754716981,0.985781990521327,106
