m,sample_idx,m_norm,db_at_event,local_mean_db,local_std_db,pre_mean_db,post_mean_db,loss_dB,peak_above_bg_dB,pre_slope_dB_per_km,post_slope_dB_per_km,slope_change_dB_per_km,derivative_at_event_dB_per_km,max_pre_derivative,min_post_derivative,pre_std_db,post_std_db,post_to_pre_std_ratio,peak_width_m,local_range_db,file,source,event_no_in_file,gt_m,label
54.88,171,0.274761,-14.506,-14.6094,0.0856,-14.6226,-14.5863,-0.0363,0.096,-7.6437,12.7219,20.3656,-32.9154,268.0251,-283.6991,0.0754,0.0793,1.0519,0.638,0.225,class2_2026_04_27_15_31_19.csv,stable_background,5,,background
70.514,220,0.353034,-16.014,-15.9794,1.044,-14.7157,-17.653,2.9373,1.5,-125.5749,-315.6509,-190.076,-1454.5455,528.2132,-1700.6285,0.2505,0.5729,2.2869,0.0,3.128,class2_2026_04_27_15_38_53.csv,manual_annotation,0,70.51,bend
127.628,399,0.63898,-8.901,-11.856,3.0104,-16.7538,-17.8461,1.0923,8.6385,1070.2859,-2492.2412,-3562.5271,587.7743,10282.1301,-2819.7492,2.2148,8.6915,3.9243,2.871,9.173,class2_2026_04_27_15_38_53.csv,manual_annotation,1,127.63,connector
130.818,409,0.654951,-18.212,-16.9166,2.0206,-13.7924,-30.6364,16.8441,4.3185,84.0561,-6187.0135,-6271.0696,-1757.5654,-1757.5654,-2683.3856,3.1327,13.7507,4.3894,0.0,5.67,class2_2026_04_27_15_38_53.csv,manual_annotation,2,130.82,break
191.442,599,0.95847,-49.9,-40.6649,13.0701,-37.7119,-40.8991,3.1872,28.878,349.6568,-1459.3153,-1808.9721,-43012.5423,45263.3276,-43012.5423,13.6599,12.7352,0.9323,0.0,28.878,class2_2026_04_27_15_38_53.csv,hard_negative,0,,background
147.091,460,0.736423,-49.9,-49.9,0.0,-38.9071,-39.5636,0.6564,0.0,-3357.1207,4590.415,7947.5358,0.0,0.0,-0.0,13.8026,13.0619,0.9463,0.0,0.0,class2_2026_04_27_15_38_53.csv,hard_negative,1,,background
145.496,455,0.728438,-49.9,-43.6402,11.72,-35.6741,-43.8982,8.2242,29.144,351.5553,3391.4175,3039.8622,-42623.8292,45680.2524,-42623.8292,14.2497,11.2968,0.7928,0.0,29.144,class2_2026_04_27_15_38_53.csv,hard_negative,2,,background
181.231,567,0.907348,-22.72,-32.0249,12.8207,-31.9017,-34.7779,2.8762,5.254,5246.8061,426.2131,-4820.5931,-38642.6364,3868.3401,-42668.5552,12.846,13.6023,1.0589,0.0,29.969,class2_2026_04_27_15_38_53.csv,hard_negative,3,,background
82.32,257,0.412142,-17.57,-17.6954,0.3188,-17.7357,-17.6739,-0.0618,0.3565,-10.8672,-50.0087,-39.1416,1418.4969,1418.4969,-1394.9875,0.3138,0.3006,0.9578,0.0,1.076,class2_2026_04_27_15_38_53.csv,stable_background,4,,background
37.012,115,0.185304,-14.604,-14.5502,0.1323,-14.5344,-14.6144,0.08,0.246,-7.6599,-39.1744,-31.5145,-241.3793,277.4295,-492.163,0.068,0.1291,1.8993,0.0,0.471,class2_2026_04_27_15_38_53.csv,stable_background,5,,background
38.926,121,0.194886,-18.115,-17.7559,2.7385,-12.9792,-29.8662,16.887,3.2645,-648.6302,-5628.8642,-4980.234,-2854.3736,-2200.627,-7653.6034,2.1927,12.6115,5.7515,0.0,9.057,class3_2026_05_14_13_11_57.csv,manual_annotation,0,38.93,break
35.736,111,0.178915,-9.09,-11.2328,1.692,-13.9573,-18.8754,4.9182,5.4525,669.003,-2726.516,-3395.519,-471.7868,6211.5987,-3003.1348,1.3868,8.9322,6.4407,2.233,5.287,class3_2026_05_14_13_11_57.csv,manual_annotation,1,35.74,connector
143.262,448,0.717253,-21.276,-36.9789,14.4891,-37.4494,-39.4144,1.965,30.665,1806.1787,86.6169,-1719.5618,-305.6411,48064.2649,-47758.6238,13.9728,13.3551,0.9558,1.276,30.665,class3_2026_05_14_13_11_57.csv,hard_negative,0,,background
153.472,480,0.76837,-49.9,-38.3317,13.0088,-32.4126,-39.4889,7.0763,10.8785,212.2747,-488.9044,-701.1791,0.0,44250.7884,-40236.6803,12.9305,13.0996,1.0131,0.0,28.232,class3_2026_05_14_13_11_57.csv,hard_negative,1,,background
122.523,383,0.613422,-25.329,-35.1794,13.1992,-31.0188,-36.0462,5.0274,3.928,852.1463,1627.602,775.4557,-0.0,424.7649,-42652.0408,11.8787,13.9087,1.1709,0.0,28.329,class3_2026_05_14_13_11_57.csv,hard_negative,2,,background
67.962,212,0.340257,-26.381,-28.09,11.8379,-35.9551,-33.9448,-2.0103,5.5705,-299.9373,350.7428,650.6801,42688.0893,42688.0893,-46163.0125,14.0082,14.3068,1.0213,0.0,30.545,class3_2026_05_14_13_11_57.csv,stable_background,3,,background
127.628,399,0.63898,-5.867,-8.7792,2.9289,-13.8852,-13.5374,-0.3477,8.817,1128.6245,-2725.7661,-3854.3906,609.7179,9623.3484,-2719.4357,2.2556,4.5332,2.0098,2.871,9.115,class1_2026_04_27_14_48_26.csv,manual_annotation,0,127.63,connector
132.095,413,0.661345,-17.713,-17.4502,2.4008,-10.9156,-30.7247,19.8092,3.696,-2475.2549,-4970.5435,-2495.2886,-2924.7665,-2594.8584,-5412.2241,3.3596,13.646,4.0618,0.0,8.1,class1_2026_04_27_14_48_26.csv,manual_annotation,1,132.09,break
140.71,440,0.704476,-49.9,-28.0321,11.8234,-34.2798,-34.7989,0.5191,5.655,3863.826,-2800.9462,-6664.7722,-44504.7038,3634.7962,-44504.7038,14.0208,13.577,0.9683,0.0,29.776,class1_2026_04_27_14_48_26.csv,hard_negative,0,,background
175.169,548,0.876998,-21.321,-37.3583,14.0407,-33.4866,-33.2311,-0.2555,3.408,-6039.9808,-1153.2046,4886.7762,45937.3088,45937.3088,-44794.6755,13.3256,13.3798,1.0041,0.957,29.308,class1_2026_04_27_14_48_26.csv,hard_negative,1,,background
171.021,535,0.856231,-21.432,-29.6183,11.3017,-41.0846,-36.4294,-4.6552,28.468,5527.8188,-2210.3528,-7738.1716,1252.3542,43368.3401,-44620.6944,12.4869,13.7044,1.0975,1.595,28.468,class1_2026_04_27_14_48_26.csv,hard_negative,2,,background
186.656,584,0.934509,-25.945,-28.7803,11.4221,-40.8733,-38.6246,-2.2487,29.246,3088.4089,-3728.5937,-6817.0026,904.3918,42318.1865,-45840.1301,12.0883,12.9235,1.0691,1.596,29.246,class1_2026_04_27_14_48_26.csv,stable_background,3,,background
60.623,189,0.303514,-15.579,-15.4361,0.6407,-14.6611,-16.2633,1.6022,0.9855,-32.8029,-21.2995,11.5034,-1123.8245,166.1442,-1123.8245,0.1487,0.2373,1.5958,0.0,1.691,class2_2026_04_27_15_52_49.csv,manual_annotation,0,60.62,bend
131.138,410,0.656553,-16.696,-16.8599,2.411,-12.7004,-32.2141,19.5137,4.5015,-654.0913,-6658.8081,-6004.7168,-2995.0226,-2169.279,-3880.8777,3.1585,14.1786,4.4891,0.0,7.663,class2_2026_04_27_15_52_49.csv,manual_annotation,1,131.14,break
127.628,399,0.63898,-7.795,-10.6207,2.7714,-15.7794,-15.6582,-0.1212,8.6925,1155.7894,-2778.3461,-3934.1355,644.2006,9721.0031,-2802.5078,2.2597,4.751,2.1025,2.871,8.355,class2_2026_04_27_15_52_49.csv,manual_annotation,2,127.63,connector
188.889,591,0.945689,-49.9,-38.3083,13.1489,-35.6999,-42.4009,6.7011,29.175,1689.3281,1332.148,-357.18,-41186.5251,45728.8433,-41186.5251,12.8766,12.1204,0.9413,0.0,29.175,class2_2026_04_27_15_52_49.csv,hard_negative,0,,background
181.55,568,0.908945,-21.492,-31.3439,13.1416,-42.569,-35.3085,-7.2605,28.992,1341.3431,-4575.9359,-5917.279,278.2915,3898.1176,-318.1803,11.8632,13.1629,1.1096,0.639,28.992,class2_2026_04_27_15_52_49.csv,hard_negative,1,,background
22.016,68,0.110225,-15.679,-15.001,0.4605,-14.6053,-14.4448,-0.1605,0.0505,-143.801,123.2475,267.0486,178.6834,178.6834,178.6834,0.2922,0.3221,1.1024,0.0,1.234,class2_2026_04_27_15_52_49.csv,hard_negative,2,,background
170.702,534,0.854634,-23.022,-29.6122,10.9985,-34.4895,-42.0463,7.5568,28.147,6754.3835,-1042.852,-7797.2355,-43858.9389,10481.1912,-43858.9389,12.5311,12.6864,1.0124,2.233,28.147,class2_2026_04_27_15_52_49.csv,hard_negative,3,,background
49.137,153,0.246009,-14.712,-14.655,0.0999,-14.6368,-14.6033,-0.0336,0.113,0.8483,9.8166,8.9683,111.2853,111.2853,-269.5925,0.0953,0.1202,1.2609,0.0,0.362,class2_2026_04_27_15_52_49.csv,stable_background,4,,background
70.195,219,0.351437,-16.998,-16.5131,0.3081,-16.4153,-16.4488,0.0334,0.5345,-60.3177,-70.5314,-10.2137,1404.3887,1404.3887,-440.4389,0.2009,0.2773,1.3804,0.0,1.057,class2_2026_04_27_15_52_49.csv,stable_background,5,,background
127.628,399,0.63898,-5.877,-8.7798,2.895,-13.8629,-13.4779,-0.385,8.832,1138.8594,-2766.5388,-3905.3982,625.3918,9648.9028,-2719.4357,2.2374,4.3897,1.9619,2.871,8.945,class1_2026_04_27_14_49_08.csv,manual_annotation,0,127.63,connector
132.095,413,0.661345,-17.719,-17.2988,2.1204,-10.9402,-30.5874,19.6472,3.3655,-2485.3605,-4722.1583,-2236.7978,-3929.4671,-2509.8024,-48721.0063,3.3603,13.718,4.0824,0.0,7.087,class1_2026_04_27_14_49_08.csv,manual_annotation,1,132.09,break
142.305,445,0.712462,-49.9,-37.9817,13.3871,-35.8124,-39.3284,3.516,29.243,-2617.0151,-1890.6285,726.3866,0.0,44092.4812,-38493.7335,14.0985,13.2988,0.9433,0.0,29.243,class1_2026_04_27_14_49_08.csv,hard_negative,0,,background
161.449,505,0.808308,-23.186,-41.2082,12.2961,-38.8767,-37.5892,-1.2875,26.714,-1306.3213,5012.2069,6318.5282,-40963.9545,41871.4749,-41871.4749,13.8679,13.7968,0.9949,0.957,26.714,class1_2026_04_27_14_49_08.csv,hard_negative,1,,background
146.134,457,0.731632,-22.899,-40.5584,13.2345,-40.9299,-42.2047,1.2748,29.956,-696.3633,3110.6837,3807.047,46952.9812,46952.9812,-46952.9812,12.7185,12.4909,0.9821,0.957,29.956,class1_2026_04_27_14_49_08.csv,hard_negative,2,,background
183.784,575,0.92013,-49.9,-34.9792,13.3903,-34.4661,-32.1454,-2.3207,3.477,1019.1366,3519.9958,2500.8592,-4460.8166,45418.4984,-40307.2132,13.8509,12.6431,0.9128,0.0,28.977,class1_2026_04_27_14_49_08.csv,stable_background,3,,background
37.969,118,0.190095,-14.816,-15.0028,2.317,-12.8447,-26.8729,14.0282,3.8155,605.091,-2725.2858,-3330.3768,-2689.6552,-2228.8401,-4104.9416,1.9679,12.4831,6.3435,0.0,7.124,class3_2026_05_14_13_11_39.csv,manual_annotation,0,37.97,break
35.736,111,0.178915,-9.171,-11.3471,1.7658,-13.9654,-18.7566,4.7911,5.351,663.3473,-3095.1474,-3758.4947,-648.9028,6373.0408,-2896.5517,1.375,8.7071,6.3324,2.233,5.584,class3_2026_05_14_13_11_39.csv,manual_annotation,1,35.74,connector
64.133,200,0.321087,-49.9,-32.4322,12.5869,-38.4748,-38.1031,-0.3718,30.361,1287.2945,-5416.9695,-6704.264,38081.5078,43387.1505,-32902.8229,12.7995,13.3126,1.0401,0.0,30.361,class3_2026_05_14_13_11_39.csv,hard_negative,0,,background
133.69,418,0.66933,-49.9,-34.6158,13.7284,-36.0524,-37.6188,1.5664,30.796,3676.0287,629.4791,-3046.5496,-42277.4326,42540.7539,-42277.4326,13.8897,13.8043,0.9938,0.0,30.796,class3_2026_05_14_13_11_39.csv,hard_negative,1,,background
100.507,314,0.503197,-19.532,-40.1329,13.8249,-35.0911,-33.8341,-1.2571,7.301,-4181.2249,-547.53,3633.6949,46355.8009,47598.7492,-47598.7492,13.3477,12.9979,0.9738,0.957,30.368,class3_2026_05_14_13_11_39.csv,hard_negative,2,,background
165.916,519,0.830672,-49.9,-34.4446,13.8528,-33.1809,-35.0404,1.8595,3.5165,5740.3062,1626.3882,-4113.918,-43611.2884,3592.4796,-45652.0408,13.375,13.4229,1.0036,0.0,29.152,class3_2026_05_14_13_11_39.csv,stable_background,3,,background
10.848,33,0.054311,-14.287,-14.2549,0.1868,-12.6023,-15.4879,2.8856,0.2005,-666.6083,-475.6714,190.9369,-108.1505,42.3197,-668.928,1.6894,0.6891,0.4079,0.0,0.59,class2_2026_04_27_16_00_17.csv,manual_annotation,0,10.85,bend
131.457,411,0.65815,-17.107,-17.1319,1.9015,-12.5893,-27.7548,15.1656,3.319,-1435.1557,-5242.0225,-3806.8668,-673.9812,-673.9812,-3493.732,3.1047,12.0491,3.8809,0.0,5.763,class2_2026_04_27_16_00_17.csv,manual_annotation,1,131.46,break
127.628,399,0.63898,-7.707,-10.5809,2.8231,-15.4292,-14.9447,-0.4845,8.4985,1076.3784,-2575.0141,-3651.3924,600.3135,9551.7241,-2702.1944,2.1392,3.933,1.8386,2.871,8.693,class2_2026_04_27_16_00_17.csv,manual_annotation,2,127.63,connector
143.9,450,0.720447,-49.9,-34.8367,13.5072,-31.3702,-39.5218,8.1516,3.263,3251.7465,-3434.2385,-6685.985,-4731.9734,44586.21,-4731.9734,13.1375,13.0264,0.9915,0.0,28.838,class2_2026_04_27_16_00_17.csv,hard_negative,0,,background
24.568,76,0.123002,-15.36,-15.6968,0.31,-16.4873,-15.7472,-0.7401,0.61,-3.6003,-42.6169,-39.0166,-291.5361,1437.3025,-643.0046,1.0574,0.1509,0.1427,1.276,0.917,class2_2026_04_27_16_00_17.csv,hard_negative,1,,background
181.231,567,0.907348,-49.9,-43.8619,11.3008,-36.5223,-40.4756,3.9533,27.847,-76.9978,4195.5186,4272.5164,-0.0,41529.7853,-43647.3401,13.4841,13.3331,0.9888,0.0,27.847,class2_2026_04_27_16_00_17.csv,hard_negative,2,,background
40.841,127,0.204474,-16.336,-16.1353,0.2757,-16.0603,-16.0616,0.0013,0.2675,-86.1086,-115.8218,-29.7132,1156.7382,1156.7382,-482.7586,0.2114,0.2542,1.2027,0.0,0.886,class2_2026_04_27_16_00_17.csv,hard_negative,3,,background
99.231,310,0.496808,-16.453,-16.3524,0.1909,-16.2419,-16.2794,0.0374,0.233,-22.1262,13.2789,35.405,-156.7367,632.4712,-691.2226,0.2045,0.1661,0.8123,0.0,0.615,class2_2026_04_27_16_00_17.csv,stable_background,4,,background
190.165,595,0.952077,-22.532,-34.7293,13.6205,-37.8672,-39.272,1.4048,28.922,-114.6132,-4142.2705,-4027.6573,7061.127,42896.5549,-45403.2325,13.5049,13.4025,0.9924,1.276,28.922,class2_2026_04_27_16_00_17.csv,stable_background,5,,background
123.161,385,0.616616,-16.751,-16.4753,1.1551,-14.8809,-14.8253,-0.0557,0.207,-167.2873,1925.8725,2093.1599,-2073.6677,-942.8682,-2073.6677,0.4029,3.4819,8.6411,0.0,3.354,class2_2026_04_27_15_13_52.csv,manual_annotation,0,123.16,bend
127.947,400,0.640577,-9.477,-11.4501,2.0482,-15.9643,-20.2932,4.3289,8.2355,1474.6233,-6344.3315,-7818.9548,-1998.4326,9841.6928,-3097.1787,2.6972,11.0752,4.1062,2.871,7.018,class2_2026_04_27_15_13_52.csv,manual_annotation,1,127.95,connector
131.138,410,0.656553,-17.824,-20.9772,10.3631,-13.9585,-28.2141,14.2556,3.813,-580.4405,-777.4554,-197.0149,-2806.4495,-1979.1364,-49042.3229,3.0768,11.776,3.8274,0.0,35.427,class2_2026_04_27_15_13_52.csv,manual_annotation,2,131.14,break
171.021,535,0.856231,-22.329,-31.508,13.0729,-34.6528,-42.2081,7.5552,30.482,2670.5852,-4847.2807,-7517.8659,-40791.5392,42103.4514,-47777.4342,13.7056,12.437,0.9074,1.595,30.482,class2_2026_04_27_15_13_52.csv,hard_negative,0,,background
142.943,447,0.715656,-49.9,-37.3607,14.0276,-37.5359,-41.1103,3.5744,29.304,1483.0205,-1089.0069,-2572.0275,1388.7132,44542.3229,-45931.0361,13.8426,12.5604,0.9074,0.0,29.304,class2_2026_04_27_15_13_52.csv,hard_negative,1,,background
158.897,497,0.795531,-49.9,-40.7812,12.8977,-35.1351,-34.5057,-0.6294,3.3255,-3762.3267,2029.7118,5792.0384,-0.0,43703.7649,-42451.4138,13.3686,13.8266,1.0343,0.0,27.883,class2_2026_04_27_15_13_52.csv,hard_negative,2,,background
141.667,443,0.709268,-22.32,-34.1718,14.0776,-34.9996,-40.6869,5.6874,29.621,531.5218,508.7363,-22.7855,-43924.7696,43525.9403,-43924.7696,13.4078,13.0759,0.9752,0.957,29.621,class2_2026_04_27_15_13_52.csv,hard_negative,3,,background
85.511,267,0.428118,-14.783,-14.7084,0.1157,-14.6519,-14.6907,0.0387,0.2085,26.8485,27.8711,1.0226,-39.185,-39.185,-39.185,0.1287,0.0819,0.6368,0.0,0.397,class2_2026_04_27_15_13_52.csv,stable_background,4,,background
73.386,229,0.367413,-14.641,-14.6428,0.1082,-14.6858,-14.6001,-0.0857,0.1755,12.0385,20.153,8.1145,446.7085,446.7085,-347.9624,0.1009,0.1054,1.0447,0.0,0.294,class2_2026_04_27_15_13_52.csv,stable_background,5,,background
119.013,372,0.595849,-16.446,-15.9091,0.8835,-14.8142,-16.8574,2.0433,0.945,-48.693,-130.6161,-81.9231,-1119.1223,-387.1473,-1410.6567,0.1819,0.4427,2.4346,0.0,2.57,class2_2026_04_27_15_16_23.csv,manual_annotation,0,119.01,bend
131.457,411,0.65815,-18.045,-18.1626,2.5024,-13.1193,-34.758,21.6387,4.156,-1409.9798,-3903.8137,-2493.8339,-3769.5893,-1973.9655,-5103.4498,3.1886,13.7394,4.3088,0.0,7.969,class2_2026_04_27_15_16_23.csv,manual_annotation,1,131.46,break
127.947,400,0.640577,-8.561,-10.5019,1.9914,-15.644,-18.1587,2.5147,8.637,1617.7258,-2795.6503,-4413.3761,-2009.4044,9708.526,-3202.1944,2.8839,8.7748,3.0427,2.871,6.813,class2_2026_04_27_15_16_23.csv,manual_annotation,2,127.95,connector
186.656,584,0.934509,-49.9,-34.0803,14.2009,-37.5433,-35.0942,-2.4491,16.32,5183.3181,-1986.7115,-7170.0296,1100.3135,44922.3406,-45984.3292,13.0794,13.3829,1.0232,0.0,30.056,class2_2026_04_27_15_16_23.csv,hard_negative,0,,background
144.857,453,0.725239,-23.754,-35.254,13.1333,-37.5393,-43.7951,6.2557,27.611,74.3579,-1811.516,-1885.8739,5585.3086,40981.1944,-43277.4326,13.8786,11.4229,0.8231,1.277,27.611,class2_2026_04_27_15_16_23.csv,hard_negative,1,,background
143.9,450,0.720447,-22.658,-28.8507,11.3579,-37.4777,-41.0067,3.529,29.309,2415.2825,-3992.0693,-6407.3518,0.0,40485.8966,-41059.6792,13.9348,12.6,0.9042,0.638,29.309,class2_2026_04_27_15_16_23.csv,hard_negative,2,,background
174.531,546,0.873804,-49.9,-43.4668,12.0381,-34.7335,-37.0103,2.2768,16.767,-435.7541,-540.4255,-104.6713,0.0,642.6332,-0.0,13.5875,14.4358,1.0624,0.0,29.48,class2_2026_04_27_15_16_23.csv,hard_negative,3,,background
25.845,80,0.129395,-14.327,-14.3258,0.076,-14.5378,-14.4036,-0.1343,0.244,143.2913,-39.1128,-182.4041,-97.1787,266.2575,-172.4138,0.2423,0.1123,0.4633,0.0,0.303,class2_2026_04_27_15_16_23.csv,stable_background,4,,background
165.597,518,0.829075,-20.331,-37.2479,14.1531,-45.3684,-33.1413,-12.2272,29.569,1221.8616,-603.7392,-1825.6008,44752.3542,46346.3997,-46346.3997,10.1454,13.3981,1.3206,0.957,29.569,class2_2026_04_27_15_16_23.csv,stable_background,5,,background
35.736,111,0.178915,-7.535,-9.8828,2.1075,-13.6728,-12.8074,-0.8654,6.783,964.2513,-1507.586,-2471.8373,-421.6301,7617.5637,-2564.2633,1.8385,2.1476,1.1681,2.552,6.796,class3_2026_05_14_14_40_05.csv,manual_annotation,0,35.74,connector
127.628,399,0.63898,-1.228,-4.8132,4.2835,-13.5054,-8.7211,-4.7843,12.404,2066.1357,-2644.298,-4710.4337,749.2163,16829.1287,-2688.0878,3.9037,4.3004,1.1016,3.828,13.891,class3_2026_05_14_14_40_05.csv,manual_annotation,1,127.63,connector
134.009,419,0.670927,-16.788,-16.8924,1.9596,-9.5356,-31.4696,21.934,2.851,-2532.5939,-6905.7431,-4373.1492,-2841.6912,-2098.7461,-5462.3824,4.2604,14.7502,3.4621,0.0,6.934,class3_2026_05_14_14_40_05.csv,manual_annotation,2,134.01,break
185.698,581,0.929713,-28.821,-41.8012,11.6345,-40.3105,-39.4828,-0.8277,29.23,3454.3238,6073.06,2618.7362,-0.0,-0.0,-33090.8942,12.1953,13.1154,1.0754,0.638,29.23,class3_2026_05_14_14_40_05.csv,hard_negative,0,,background
190.803,597,0.955271,-27.694,-32.3133,12.5331,-39.8385,-34.841,-4.9975,27.856,6073.06,40.5584,-6032.5016,-41752.4331,41904.3903,-43661.4436,12.7202,13.5817,1.0677,1.277,27.856,class3_2026_05_14_14_40_05.csv,hard_negative,1,,background
173.574,543,0.869013,-49.9,-35.9763,12.695,-35.6684,-34.6866,-0.9818,7.1065,5809.0214,1066.0366,-4742.9848,-41409.0925,32317.7339,-41409.0925,12.8565,13.7216,1.0673,0.0,29.091,class3_2026_05_14_14_40_05.csv,hard_negative,2,,background
186.975,585,0.936106,-49.9,-47.5579,6.6245,-40.7933,-35.1444,-5.6488,21.079,-1998.3604,4905.8339,6904.1943,-0.0,0.0,-0.0,11.5414,13.3461,1.1564,0.0,21.079,class3_2026_05_14_14_40_05.csv,hard_negative,3,,background
95.721,299,0.479235,-14.83,-14.7999,0.368,-15.0592,-14.8144,-0.2447,0.93,36.9623,-154.3474,-191.3096,-106.5831,515.674,-106.5831,0.1399,0.3166,2.2637,0.0,1.268,class3_2026_05_14_14_40_05.csv,stable_background,4,,background
10.529,32,0.052714,-14.188,-14.1739,0.0739,-12.7335,-14.3499,1.6164,0.0755,-624.3452,-77.7495,546.5958,10.9718,67.3981,-266.4577,1.6357,0.119,0.0728,0.0,0.218,class3_2026_05_14_14_40_05.csv,stable_background,5,,background
127.628,399,0.63898,-5.883,-8.7873,2.9235,-13.9167,-13.1943,-0.7224,8.8425,1149.9025,-2574.5317,-3724.4342,634.7962,9628.5266,-2735.1097,2.2603,4.0608,1.7966,2.871,9.065,class1_2026_04_27_14_48_13.csv,manual_annotation,0,127.63,connector
131.776,412,0.659748,-16.554,-16.0594,1.8041,-10.8206,-28.3752,17.5547,3.242,-2062.0887,-7585.614,-5523.5253,-2921.6301,-2078.1889,-2921.6301,3.1986,13.454,4.2062,0.0,5.464,class1_2026_04_27_14_48_13.csv,manual_annotation,1,131.78,break
152.834,478,0.765176,-20.372,-28.405,11.695,-39.3378,-35.3483,-3.9894,29.649,3940.6471,866.2558,-3074.3913,-6072.1019,46282.1348,-40399.6897,13.3033,13.2075,0.9928,1.595,29.649,class1_2026_04_27_14_48_13.csv,hard_negative,0,,background
176.764,553,0.884984,-49.9,-39.4557,11.8592,-29.9934,-38.6551,8.6616,6.3415,-1810.3549,2417.4728,4227.8277,33791.5392,44932.605,-32415.3636,12.4296,12.7763,1.0279,0.0,28.667,class1_2026_04_27_14_48_13.csv,hard_negative,1,,background
189.208,592,0.947286,-21.353,-34.7287,13.609,-33.1063,-38.2656,5.1593,4.881,167.2684,1272.5299,1105.2615,2899.6834,44744.5157,-45087.7759,13.4396,13.0714,0.9726,1.276,28.766,class1_2026_04_27_14_48_13.csv,hard_negative,2,,background
164.002,513,0.82109,-49.9,-31.1766,13.3097,-35.8538,-28.9476,-6.9062,4.1245,-1482.6446,-2802.9622,-1320.3176,-3545.4561,47200.6317,-3545.4561,14.1488,11.3093,0.7993,0.0,30.114,class1_2026_04_27_14_48_13.csv,stable_background,3,,background
52.646,164,0.263577,-15.849,-15.7253,1.2139,-14.5988,-17.7898,3.191,1.641,43.6401,-285.3558,-328.9958,-1948.3997,822.884,-1948.3997,0.2122,0.6254,2.9473,0.0,3.341,class2_2026_04_27_15_49_43.csv,manual_annotation,0,52.65,bend
131.457,411,0.65815,-19.573,-22.2191,9.9887,-14.3631,-34.7136,20.3504,3.22,-1371.7661,-2638.7604,-1266.9943,-2101.8793,-2095.6113,-42987.4624,3.0199,13.8135,4.5742,0.0,34.197,class2_2026_04_27_15_49_43.csv,manual_annotation,1,131.46,break
127.628,399,0.63898,-9.564,-12.3548,2.6733,-17.6106,-19.8312,2.2206,8.6235,1134.0185,-2627.4425,-3761.461,612.8527,9336.9922,-2860.5016,2.4231,11.1735,4.6113,2.871,8.118,class2_2026_04_27_15_49_43.csv,manual_annotation,2,127.63,connector
157.939,494,0.790735,-49.9,-43.5033,11.9913,-34.6587,-37.7112,3.0526,18.3255,-3011.0869,-1139.0223,1872.0645,0.0,47650.4718,-42385.1297,13.6884,13.6758,0.9991,0.0,30.401,class2_2026_04_27_15_49_43.csv,hard_negative,0,,background
178.041,557,0.891377,-49.9,-39.2076,12.1263,-31.6588,-36.5286,4.8698,3.663,-1316.287,-1467.2093,-150.9223,-0.0,0.0,-0.0,13.1405,13.4604,1.0243,0.0,27.365,class2_2026_04_27_15_49_43.csv,hard_negative,1,,background
192.718,603,0.964859,-19.13,-33.8478,14.4101,-36.5556,-40.9321,4.3766,30.77,-2197.927,889.4825,3087.4095,-0.0,45761.7586,-47733.547,13.4114,12.7876,0.9535,0.638,30.77,class2_2026_04_27_15_49_43.csv,hard_negative,2,,background
193.037,604,0.966456,-49.9,-33.8478,14.4101,-34.8461,-39.2687,4.4226,30.77,434.7696,-916.9949,-1351.7645,-495.2978,43197.4953,-47733.547,13.5617,13.4434,0.9913,0.0,30.77,class2_2026_04_27_15_49_43.csv,hard_negative,3,,background
36.055,112,0.180512,-14.361,-14.5853,0.1276,-14.5708,-14.5752,0.0043,0.227,-42.8775,6.4391,49.3166,214.7335,377.7429,-280.5643,0.133,0.0993,0.7468,0.638,0.493,class2_2026_04_27_15_49_43.csv,stable_background,4,,background
27.44,85,0.137381,-14.396,-14.427,0.117,-14.5963,-14.4497,-0.1467,0.245,62.3466,-35.1942,-97.5408,224.1379,617.5549,-153.605,0.4607,0.116,0.2517,0.0,0.394,class2_2026_04_27_15_49_43.csv,stable_background,5,,background
112.631,352,0.563897,-16.399,-16.2818,0.6353,-14.9621,-17.0292,2.0671,1.133,-230.308,-82.407,147.901,-360.5857,-360.5857,-1244.511,0.4527,0.2412,0.5328,0.0,2.284,class2_2026_04_27_15_20_55.csv,manual_annotation,0,112.63,bend
130.818,409,0.654951,-16.396,-16.0956,2.1162,-13.0065,-27.0951,14.0886,4.3365,161.9845,-3957.0422,-4119.0266,-3742.3795,-1956.1129,-3742.3795,3.1882,12.3573,3.8759,0.0,5.963,class2_2026_04_27_15_20_55.csv,manual_annotation,1,130.82,break
127.628,399,0.63898,-8.073,-10.9887,2.946,-16.2008,-15.6379,-0.5629,8.9285,1211.9074,-2594.995,-3806.9025,633.2288,9694.3574,-2721.0031,2.31,4.4246,1.9154,2.871,9.134,class2_2026_04_27_15_20_55.csv,manual_annotation,2,127.63,connector
171.659,537,0.859425,-23.724,-37.4196,13.9744,-35.5952,-39.0777,3.4824,29.232,-525.8977,3144.8523,3670.75,-0.0,78.3683,-41028.2147,14.3648,13.6179,0.948,0.638,29.232,class2_2026_04_27_15_20_55.csv,hard_negative,0,,background
143.9,450,0.720447,-22.633,-38.2078,13.2066,-36.7955,-38.0568,1.2613,30.196,15.9939,-2422.9148,-2438.9087,0.0,47329.1567,-39703.1066,13.3092,13.3359,1.002,0.638,30.196,class2_2026_04_27_15_20_55.csv,hard_negative,1,,background
