m,sample_idx,m_norm,db_at_event,local_mean_db,local_std_db,pre_mean_db,post_mean_db,loss_dB,peak_above_bg_dB,pre_slope_dB_per_km,post_slope_dB_per_km,slope_change_dB_per_km,derivative_at_event_dB_per_km,max_pre_derivative,min_post_derivative,pre_std_db,post_std_db,post_to_pre_std_ratio,peak_width_m,local_range_db,file,source,event_no_in_file,gt_m,label
163.044,510,0.816293,-26.067,-25.9454,8.7045,-36.2893,-36.2944,0.0051,18.358,6335.2218,-313.4574,-6648.6792,-3227.3198,45133.232,-44443.5768,13.6803,13.6598,0.9985,2.872,29.949,class2_2026_04_27_15_19_23.csv,hard_negative,0,,background
184.103,576,0.921727,-24.673,-29.4517,11.1066,-30.3926,-36.1045,5.7119,4.758,1630.1675,-1956.4868,-3586.6542,-33694.3605,33694.3605,-33694.3605,10.7553,13.8253,1.2854,0.0,28.601,class2_2026_04_27_15_19_23.csv,hard_negative,1,,background
150.92,472,0.755594,-18.729,-37.1641,14.3284,-35.1104,-37.1234,2.013,19.2985,-395.3152,1809.9084,2205.2236,156.7367,48857.3699,-48857.3699,13.2872,14.3161,1.0774,1.276,31.171,class2_2026_04_27_15_19_23.csv,hard_negative,2,,background
149.005,466,0.746006,-24.376,-38.7508,12.482,-36.4673,-38.7759,2.3086,26.366,668.7761,-594.9193,-1263.6954,0.0,37217.8699,-40068.8819,13.4717,14.0125,1.0401,0.638,26.366,class2_2026_04_27_15_19_23.csv,hard_negative,3,,background
72.748,227,0.364219,-14.876,-14.6416,0.1151,-14.6552,-14.663,0.0078,0.1505,13.1096,-6.6201,-19.7298,-341.6928,118.378,-341.6928,0.0891,0.1009,1.1325,0.0,0.372,class2_2026_04_27_15_19_23.csv,stable_background,4,,background
100.188,313,0.5016,-14.617,-14.696,0.0764,-14.7189,-14.7978,0.0789,0.1965,-23.3594,-27.2659,-3.9065,95.6113,264.8903,-332.2884,0.1216,0.1038,0.8535,0.638,0.239,class2_2026_04_27_15_19_23.csv,stable_background,5,,background
132.095,413,0.661345,-17.145,-17.2574,2.1374,-10.9243,-35.2124,24.2881,3.212,-2455.773,-5062.0861,-2606.3131,-2620.6881,-2244.5141,-47572.1034,3.3249,14.7158,4.426,0.0,6.105,class1_2026_04_27_14_46_27.csv,manual_annotation,0,132.09,break
127.628,399,0.63898,-5.898,-8.7903,2.8875,-13.9533,-13.4549,-0.4984,8.902,1156.6403,-2634.4269,-3791.0672,609.7179,9626.9592,-2755.4859,2.2671,4.3708,1.9279,2.871,8.918,class1_2026_04_27_14_46_27.csv,manual_annotation,1,127.63,connector
183.465,574,0.918533,-21.399,-37.7012,13.778,-33.3101,-38.8237,5.5136,19.0015,-2431.3839,2388.5428,4819.9267,0.0,9363.6379,-47435.7398,13.3079,13.9061,1.045,0.638,30.264,class1_2026_04_27_14_46_27.csv,hard_negative,0,,background
163.364,511,0.817896,-49.9,-31.9394,12.9318,-31.671,-37.5492,5.8782,6.479,6878.3407,695.6072,-6182.7335,-36893.74,10460.815,-36893.74,13.0375,13.8883,1.0653,0.0,29.614,class1_2026_04_27_14_46_27.csv,hard_negative,1,,background
166.873,522,0.835464,-49.9,-37.8454,13.6068,-33.2979,-33.0043,-0.2936,4.9575,-3169.7605,840.462,4010.2225,3501.5674,42205.3323,-45706.8997,13.4316,13.5682,1.0102,0.0,29.782,class1_2026_04_27_14_46_27.csv,hard_negative,2,,background
193.675,606,0.96965,-49.9,-28.9391,11.5549,-29.9004,-38.0756,8.1752,4.479,2476.7648,-4264.4068,-6741.1715,-47689.6567,31807.2132,-47689.6567,12.6041,13.2507,1.0513,0.0,30.54,class1_2026_04_27_14_46_27.csv,stable_background,3,,background
127.628,399,0.63898,-5.902,-8.8209,2.9396,-13.9658,-13.3902,-0.5757,8.874,1147.1171,-2689.3067,-3836.4238,611.2853,9697.1118,-2761.7555,2.2734,4.2548,1.8716,2.871,9.146,class1_2026_04_27_14_47_13.csv,manual_annotation,0,127.63,connector
132.095,413,0.661345,-17.951,-17.1071,1.9484,-10.9467,-30.048,19.1013,3.407,-2460.0928,-4580.4301,-2120.3373,-2159.8715,-2159.8715,-3131.663,3.3452,13.081,3.9104,0.0,6.094,class1_2026_04_27_14_47_13.csv,manual_annotation,1,132.09,break
152.196,476,0.761982,-49.9,-33.5098,14.6768,-37.4308,-34.0655,-3.3653,20.8555,8952.8057,114.4175,-8838.3882,-739.8119,16540.7508,-45918.4984,14.0821,14.2511,1.012,0.0,31.158,class1_2026_04_27_14_47_13.csv,hard_negative,0,,background
183.146,573,0.916936,-20.936,-34.6934,13.6383,-41.1175,-36.3716,-4.7459,28.964,-638.008,-985.045,-347.037,-3717.8683,45398.1207,-40388.7179,12.5876,13.5813,1.0789,1.595,28.964,class1_2026_04_27_14_47_13.csv,hard_negative,1,,background
