model,cv_f1_macro_all_mean,cv_f1_macro_all_std,val_accuracy_all,val_f1_macro_all,val_f1_weighted_all,val_precision_macro_events,val_recall_macro_events,val_f1_macro_events,bend_precision,bend_recall,bend_f1,bend_support,connector_precision,connector_recall,connector_f1,connector_support,break_precision,break_recall,break_f1,break_support,background_precision,background_recall,background_f1,background_support
ExtraTrees,0.9955187583329153,0.0059287080755073135,0.9954337899543378,0.9901332789763049,0.9954165813568884,0.9915343915343916,0.9829580036518563,0.9871295159661253,1.0,0.967741935483871,0.9836065573770492,62,0.9841269841269841,1.0,0.992,124,0.9904761904761905,0.9811320754716981,0.985781990521327,106,0.9982905982905983,1.0,0.9991445680068435,584
GradientBoosting,0.993509086589168,0.007116707797478051,0.9942922374429224,0.9896726443741104,0.9942624638427409,0.9947089947089948,0.9798133495638061,0.987084163463801,1.0,0.967741935483871,0.9836065573770492,62,0.9841269841269841,1.0,0.992,124,1.0,0.9716981132075472,0.9856459330143541,106,0.9948892674616695,1.0,0.9974380871050385,584
DecisionTree,0.9768475649465913,0.00851538597351163,0.9942922374429224,0.9889310069740482,0.9942858742459935,0.9889513810773654,0.9829580036518563,0.9858121188877721,1.0,0.967741935483871,0.9836065573770492,62,0.9763779527559056,1.0,0.9880478087649402,124,0.9904761904761905,0.9811320754716981,0.985781990521327,106,0.9982876712328768,0.9982876712328768,0.9982876712328768,584
RandomForest,0.9961022497907743,0.004946548397289548,0.9942922374429224,0.9887123841550071,0.9942628634018709,0.9915038665038666,0.9798133495638061,0.98551964610981,1.0,0.967741935483871,0.9836065573770492,62,0.9841269841269841,1.0,0.992,124,0.9903846153846154,0.9716981132075472,0.9809523809523809,106,0.9965870307167235,1.0,0.9982905982905983,584
SVM_RBF,0.9632341926463648,0.011463166406889965,0.980593607305936,0.9626422982351268,0.9811115134051811,0.9385150203332021,0.9722053154798133,0.9536320717719075,0.8333333333333334,0.967741935483871,0.8955223880597015,62,0.9917355371900827,0.967741935483871,0.9795918367346939,124,0.9904761904761905,0.9811320754716981,0.985781990521327,106,0.9948096885813149,0.9845890410958904,0.9896729776247849,584
LogisticRegression,0.9369357665029631,0.010934405503941341,0.9623287671232876,0.9352320927228227,0.9649293359926219,0.8864614770628769,0.9744370054777846,0.9215030523058306,0.6853932584269663,0.9838709677419355,0.8079470198675497,62,0.9836065573770492,0.967741935483871,0.975609756097561,124,0.9903846153846154,0.9716981132075472,0.9809523809523809,106,0.9964349376114082,0.9571917808219178,0.9764192139737992,584
