pulse width[0] (ns);6
n;1,468100
number of samples;627
km;dB
0,000000;-49,900002
0,000319;-8,871000
0,000638;-3,673000
0,000957;-1,248000
0,001276;-0,300000
0,001595;-0,507000
0,001914;-1,255000
0,002233;-1,973000
0,002553;-2,668000
0,002872;-3,658000
0,003191;-4,577000
0,003510;-5,283000
0,003829;-5,986000
0,004148;-7,014000
0,004467;-7,848000
0,004786;-8,509000
0,005105;-9,263000
0,005424;-10,185000
0,005743;-10,790000
0,006062;-11,317000
0,006381;-11,998000
0,006700;-12,459000
0,007020;-12,894000
0,007339;-13,329000
0,007658;-13,479000
0,007977;-13,744000
0,008296;-13,909000
0,008615;-13,988000
0,008934;-14,026000
0,009253;-14,268000
0,009572;-14,103000
0,009891;-14,281000
0,010210;-14,294000
0,010529;-14,252000
0,010848;-14,343000
0,011167;-14,454000
0,011486;-14,549000
0,011806;-14,614000
0,012125;-14,408000
0,012444;-14,399000
0,012763;-14,495000
0,013082;-14,442000
0,013401;-14,462000
0,013720;-14,366000
0,014039;-14,417000
0,014358;-14,534000
0,014677;-14,383000
0,014996;-14,377000
0,015315;-14,491000
0,015634;-14,476000
0,015953;-14,491000
0,016273;-14,545000
0,016592;-14,524000
0,016911;-14,441000
0,017230;-14,693000
0,017549;-14,425000
0,017868;-14,503000
0,018187;-14,541000
0,018506;-14,345000
0,018825;-14,389000
0,019144;-14,288000
0,019463;-14,501000
0,019782;-14,484000
0,020101;-14,321000
0,020420;-14,462000
0,020740;-14,459000
0,021059;-14,346000
0,021378;-14,530000
0,021697;-14,945000
0,022016;-14,920000
0,022335;-14,712000
0,022654;-14,687000
0,022973;-14,572000
0,023292;-14,479000
0,023611;-14,400000
0,023930;-14,491000
0,024249;-14,165000
0,024568;-14,375000
0,024887;-14,261000
0,025206;-14,412000
0,025526;-14,482000
0,025845;-14,405000
0,026164;-14,400000
0,026483;-14,480000
0,026802;-14,512000
0,027121;-14,447000
0,027440;-14,552000
0,027759;-14,338000
0,028078;-14,389000
0,028397;-14,390000
0,028716;-14,208000
0,029035;-14,240000
0,029354;-14,326000
0,029673;-14,484000
0,029993;-14,477000
0,030312;-14,371000
0,030631;-14,606000
0,030950;-14,681000
0,031269;-14,346000
0,031588;-14,569000
0,031907;-14,447000
0,032226;-14,659000
0,032545;-14,500000
0,032864;-14,735000
0,033183;-14,706000
0,033502;-14,623000
0,033821;-14,512000
0,034140;-14,499000
0,034459;-14,509000
0,034779;-14,541000
0,035098;-14,530000
0,035417;-14,328000
0,035736;-14,718000
0,036055;-14,424000
0,036374;-14,781000
0,036693;-14,358000
0,037012;-14,733000
0,037331;-14,525000
0,037650;-14,738000
0,037969;-14,485000
0,038288;-14,683000
0,038607;-14,560000
0,038926;-14,682000
0,039246;-14,669000
0,039565;-14,596000
0,039884;-14,748000
0,040203;-14,847000
0,040522;-14,603000
0,040841;-14,552000
0,041160;-14,592000
