threshold,TP,FP,FN,event_precision,event_recall,event_f1
0.5,214,13,11,0.9427312775330396,0.9511111111111111,0.9469026548672567
0.45,214,14,11,0.9385964912280702,0.9511111111111111,0.9448123620309051
0.25,214,16,11,0.9304347826086956,0.9511111111111111,0.9406593406593408
0.35,214,16,11,0.9304347826086956,0.9511111111111111,0.9406593406593408
0.3,214,16,11,0.9304347826086956,0.9511111111111111,0.9406593406593408
0.4,214,16,11,0.9304347826086956,0.9511111111111111,0.9406593406593408
0.55,209,11,16,0.95,0.9288888888888889,0.9393258426966291
0.6,203,11,22,0.9485981308411215,0.9022222222222223,0.9248291571753987
0.65,198,9,27,0.9565217391304348,0.88,0.9166666666666666
0.7,193,8,32,0.9601990049751243,0.8577777777777778,0.9061032863849765
0.75,187,6,38,0.9689119170984456,0.8311111111111111,0.894736842105263
0.8,180,6,45,0.967741935483871,0.8,0.8759124087591241
0.85,174,3,51,0.9830508474576272,0.7733333333333333,0.8656716417910447
0.9,163,3,62,0.9819277108433735,0.7244444444444444,0.8337595907928388
0.95,145,2,80,0.9863945578231292,0.6444444444444445,0.7795698924731184
