model,cv_f1_macro_all_mean,cv_f1_macro_all_std,val_accuracy,val_f1_macro_all,val_precision_macro_events,val_recall_macro_events,val_f1_macro_events,bend_precision,bend_recall,bend_f1,bend_support,connector_precision,connector_recall,connector_f1,connector_support,break_precision,break_recall,break_f1,break_support,background_precision,background_recall,background_f1,background_support
RandomForest,0.922608870631348,0.021843997392192765,0.9795555555555555,0.955621953261614,0.9519901394901394,0.9391514041514041,0.9443575904212421,1.0,0.9047619047619048,0.95,21,0.98989898989899,0.98,0.9849246231155779,100,0.8660714285714286,0.9326923076923077,0.8981481481481481,104,0.9921787709497206,0.9866666666666667,0.9894150417827298,900
GradientBoosting,0.9236352274018437,0.011865511465092748,0.9804444444444445,0.9466325645943501,0.9400500979448347,0.9264835164835166,0.9321841766974407,0.9473684210526315,0.8571428571428571,0.9,21,0.98989898989899,0.98,0.9849246231155779,100,0.8828828828828829,0.9423076923076923,0.9116279069767442,104,0.9921875,0.9877777777777778,0.9899777282850779,900
ExtraTrees,0.9280411966553848,0.023889345906947704,0.9724444444444444,0.9336035300904777,0.8717519528136458,0.9678449328449328,0.9163512533338501,0.8333333333333334,0.9523809523809523,0.8888888888888888,21,0.9607843137254902,0.98,0.9702970297029703,100,0.8211382113821138,0.9711538461538461,0.8898678414096917,104,0.9988584474885844,0.9722222222222222,0.9853603603603603,900
DecisionTree,0.8716891544781007,0.03256280022104857,0.9608888888888889,0.9185438710405102,0.8712317985045258,0.9294078144078144,0.8985159375403278,0.9047619047619048,0.9047619047619048,0.9047619047619048,21,0.9238095238095239,0.97,0.9463414634146341,100,0.7851239669421488,0.9134615384615384,0.8444444444444444,104,0.9908883826879271,0.9666666666666667,0.9786276715410573,900
SVM_RBF,0.815947634779573,0.025975539830631073,0.9244444444444444,0.815134850284832,0.6710258649635298,0.9518437118437119,0.7687965541039006,0.3958333333333333,0.9047619047619048,0.5507246376811594,21,0.941747572815534,0.97,0.9556650246305419,100,0.6754966887417219,0.9807692307692307,0.8,104,0.9987849331713244,0.9133333333333333,0.9541497388276262,900
LogisticRegression,0.8143977984743802,0.03138111439761542,0.9253333333333333,0.8123781342672809,0.6702825134197683,0.9579731379731379,0.7645149940095224,0.37037037037037035,0.9523809523809523,0.5333333333333333,21,0.9411764705882353,0.96,0.9504950495049505,100,0.6993006993006993,0.9615384615384616,0.8097165991902834,104,0.9987893462469734,0.9166666666666666,0.9559675550405562,900
