m,sample_idx,m_norm,db_at_event,local_mean_db,local_std_db,pre_mean_db,post_mean_db,loss_dB,peak_above_bg_dB,pre_slope_dB_per_km,post_slope_dB_per_km,slope_change_dB_per_km,derivative_at_event_dB_per_km,max_pre_derivative,min_post_derivative,pre_std_db,post_std_db,post_to_pre_std_ratio,peak_width_m,local_range_db,file,event_no_in_file,gt_m,label,expected_length_m
127.628,399,0.63898,-5.867,-8.7792,2.9289,-13.8852,-13.5374,-0.3477,8.817,1128.6245,-2725.7661,-3854.3906,609.7179,9623.3484,-2719.4357,2.2556,4.5332,2.0098,2.871,9.115,class1_2026_04_27_14_48_26.csv,0,127.63,connector,199.737
132.095,413,0.661345,-17.713,-17.4502,2.4008,-10.9156,-30.7247,19.8092,3.696,-2475.2549,-4970.5435,-2495.2886,-2924.7665,-2594.8584,-5412.2241,3.3596,13.646,4.0618,0.0,8.1,class1_2026_04_27_14_48_26.csv,1,132.09,break,199.737
60.623,189,0.303514,-15.579,-15.4361,0.6407,-14.6611,-16.2633,1.6022,0.9855,-32.8029,-21.2995,11.5034,-1123.8245,166.1442,-1123.8245,0.1487,0.2373,1.5958,0.0,1.691,class2_2026_04_27_15_52_49.csv,0,60.62,bend,199.737
131.138,410,0.656553,-16.696,-16.8599,2.411,-12.7004,-32.2141,19.5137,4.5015,-654.0913,-6658.8081,-6004.7168,-2995.0226,-2169.279,-3880.8777,3.1585,14.1786,4.4891,0.0,7.663,class2_2026_04_27_15_52_49.csv,1,131.14,break,199.737
127.628,399,0.63898,-7.795,-10.6207,2.7714,-15.7794,-15.6582,-0.1212,8.6925,1155.7894,-2778.3461,-3934.1355,644.2006,9721.0031,-2802.5078,2.2597,4.751,2.1025,2.871,8.355,class2_2026_04_27_15_52_49.csv,2,127.63,connector,199.737
127.628,399,0.63898,-5.877,-8.7798,2.895,-13.8629,-13.4779,-0.385,8.832,1138.8594,-2766.5388,-3905.3982,625.3918,9648.9028,-2719.4357,2.2374,4.3897,1.9619,2.871,8.945,class1_2026_04_27_14_49_08.csv,0,127.63,connector,199.737
132.095,413,0.661345,-17.719,-17.2988,2.1204,-10.9402,-30.5874,19.6472,3.3655,-2485.3605,-4722.1583,-2236.7978,-3929.4671,-2509.8024,-48721.0063,3.3603,13.718,4.0824,0.0,7.087,class1_2026_04_27_14_49_08.csv,1,132.09,break,199.737
37.969,118,0.190095,-14.816,-15.0028,2.317,-12.8447,-26.8729,14.0282,3.8155,605.091,-2725.2858,-3330.3768,-2689.6552,-2228.8401,-4104.9416,1.9679,12.4831,6.3435,0.0,7.124,class3_2026_05_14_13_11_39.csv,0,37.97,break,199.737
35.736,111,0.178915,-9.171,-11.3471,1.7658,-13.9654,-18.7566,4.7911,5.351,663.3473,-3095.1474,-3758.4947,-648.9028,6373.0408,-2896.5517,1.375,8.7071,6.3324,2.233,5.584,class3_2026_05_14_13_11_39.csv,1,35.74,connector,199.737
10.848,33,0.054311,-14.287,-14.2549,0.1868,-12.6023,-15.4879,2.8856,0.2005,-666.6083,-475.6714,190.9369,-108.1505,42.3197,-668.928,1.6894,0.6891,0.4079,0.0,0.59,class2_2026_04_27_16_00_17.csv,0,10.85,bend,199.737
131.457,411,0.65815,-17.107,-17.1319,1.9015,-12.5893,-27.7548,15.1656,3.319,-1435.1557,-5242.0225,-3806.8668,-673.9812,-673.9812,-3493.732,3.1047,12.0491,3.8809,0.0,5.763,class2_2026_04_27_16_00_17.csv,1,131.46,break,199.737
127.628,399,0.63898,-7.707,-10.5809,2.8231,-15.4292,-14.9447,-0.4845,8.4985,1076.3784,-2575.0141,-3651.3924,600.3135,9551.7241,-2702.1944,2.1392,3.933,1.8386,2.871,8.693,class2_2026_04_27_16_00_17.csv,2,127.63,connector,199.737
123.161,385,0.616616,-16.751,-16.4753,1.1551,-14.8809,-14.8253,-0.0557,0.207,-167.2873,1925.8725,2093.1599,-2073.6677,-942.8682,-2073.6677,0.4029,3.4819,8.6411,0.0,3.354,class2_2026_04_27_15_13_52.csv,0,123.16,bend,199.737
127.947,400,0.640577,-9.477,-11.4501,2.0482,-15.9643,-20.2932,4.3289,8.2355,1474.6233,-6344.3315,-7818.9548,-1998.4326,9841.6928,-3097.1787,2.6972,11.0752,4.1062,2.871,7.018,class2_2026_04_27_15_13_52.csv,1,127.95,connector,199.737
131.138,410,0.656553,-17.824,-20.9772,10.3631,-13.9585,-28.2141,14.2556,3.813,-580.4405,-777.4554,-197.0149,-2806.4495,-1979.1364,-49042.3229,3.0768,11.776,3.8274,0.0,35.427,class2_2026_04_27_15_13_52.csv,2,131.14,break,199.737
119.013,372,0.595849,-16.446,-15.9091,0.8835,-14.8142,-16.8574,2.0433,0.945,-48.693,-130.6161,-81.9231,-1119.1223,-387.1473,-1410.6567,0.1819,0.4427,2.4346,0.0,2.57,class2_2026_04_27_15_16_23.csv,0,119.01,bend,199.737
131.457,411,0.65815,-18.045,-18.1626,2.5024,-13.1193,-34.758,21.6387,4.156,-1409.9798,-3903.8137,-2493.8339,-3769.5893,-1973.9655,-5103.4498,3.1886,13.7394,4.3088,0.0,7.969,class2_2026_04_27_15_16_23.csv,1,131.46,break,199.737
127.947,400,0.640577,-8.561,-10.5019,1.9914,-15.644,-18.1587,2.5147,8.637,1617.7258,-2795.6503,-4413.3761,-2009.4044,9708.526,-3202.1944,2.8839,8.7748,3.0427,2.871,6.813,class2_2026_04_27_15_16_23.csv,2,127.95,connector,199.737
35.736,111,0.178915,-7.535,-9.8828,2.1075,-13.6728,-12.8074,-0.8654,6.783,964.2513,-1507.586,-2471.8373,-421.6301,7617.5637,-2564.2633,1.8385,2.1476,1.1681,2.552,6.796,class3_2026_05_14_14_40_05.csv,0,35.74,connector,199.737
127.628,399,0.63898,-1.228,-4.8132,4.2835,-13.5054,-8.7211,-4.7843,12.404,2066.1357,-2644.298,-4710.4337,749.2163,16829.1287,-2688.0878,3.9037,4.3004,1.1016,3.828,13.891,class3_2026_05_14_14_40_05.csv,1,127.63,connector,199.737
134.009,419,0.670927,-16.788,-16.8924,1.9596,-9.5356,-31.4696,21.934,2.851,-2532.5939,-6905.7431,-4373.1492,-2841.6912,-2098.7461,-5462.3824,4.2604,14.7502,3.4621,0.0,6.934,class3_2026_05_14_14_40_05.csv,2,134.01,break,199.737
127.628,399,0.63898,-5.883,-8.7873,2.9235,-13.9167,-13.1943,-0.7224,8.8425,1149.9025,-2574.5317,-3724.4342,634.7962,9628.5266,-2735.1097,2.2603,4.0608,1.7966,2.871,9.065,class1_2026_04_27_14_48_13.csv,0,127.63,connector,199.737
131.776,412,0.659748,-16.554,-16.0594,1.8041,-10.8206,-28.3752,17.5547,3.242,-2062.0887,-7585.614,-5523.5253,-2921.6301,-2078.1889,-2921.6301,3.1986,13.454,4.2062,0.0,5.464,class1_2026_04_27_14_48_13.csv,1,131.78,break,199.737
52.646,164,0.263577,-15.849,-15.7253,1.2139,-14.5988,-17.7898,3.191,1.641,43.6401,-285.3558,-328.9958,-1948.3997,822.884,-1948.3997,0.2122,0.6254,2.9473,0.0,3.341,class2_2026_04_27_15_49_43.csv,0,52.65,bend,199.737
131.457,411,0.65815,-19.573,-22.2191,9.9887,-14.3631,-34.7136,20.3504,3.22,-1371.7661,-2638.7604,-1266.9943,-2101.8793,-2095.6113,-42987.4624,3.0199,13.8135,4.5742,0.0,34.197,class2_2026_04_27_15_49_43.csv,1,131.46,break,199.737
127.628,399,0.63898,-9.564,-12.3548,2.6733,-17.6106,-19.8312,2.2206,8.6235,1134.0185,-2627.4425,-3761.461,612.8527,9336.9922,-2860.5016,2.4231,11.1735,4.6113,2.871,8.118,class2_2026_04_27_15_49_43.csv,2,127.63,connector,199.737
112.631,352,0.563897,-16.399,-16.2818,0.6353,-14.9621,-17.0292,2.0671,1.133,-230.308,-82.407,147.901,-360.5857,-360.5857,-1244.511,0.4527,0.2412,0.5328,0.0,2.284,class2_2026_04_27_15_20_55.csv,0,112.63,bend,199.737
130.818,409,0.654951,-16.396,-16.0956,2.1162,-13.0065,-27.0951,14.0886,4.3365,161.9845,-3957.0422,-4119.0266,-3742.3795,-1956.1129,-3742.3795,3.1882,12.3573,3.8759,0.0,5.963,class2_2026_04_27_15_20_55.csv,1,130.82,break,199.737
127.628,399,0.63898,-8.073,-10.9887,2.946,-16.2008,-15.6379,-0.5629,8.9285,1211.9074,-2594.995,-3806.9025,633.2288,9694.3574,-2721.0031,2.31,4.4246,1.9154,2.871,9.134,class2_2026_04_27_15_20_55.csv,2,127.63,connector,199.737
111.355,348,0.557508,-16.545,-16.1159,0.8022,-14.9088,-17.172,2.2632,1.3415,-154.4176,-92.572,61.8456,-1159.8746,-288.4013,-1159.8746,0.3103,0.3459,1.1148,0.0,2.353,class2_2026_04_27_15_21_13.csv,0,111.35,bend,199.737
127.628,399,0.63898,-8.038,-10.9912,3.0048,-16.2332,-18.3257,2.0925,8.8995,1154.2714,-3633.4488,-4787.7202,625.3918,10042.5011,-2695.9248,2.3468,9.9339,4.233,2.871,9.371,class2_2026_04_27_15_21_13.csv,1,127.63,connector,199.737
130.818,409,0.654951,-16.526,-16.3846,2.8411,-13.0371,-29.8228,16.7858,4.5355,155.2187,-4599.2167,-4754.4353,-2825.8069,-2329.1536,-18217.8699,3.2664,12.9715,3.9711,0.0,9.913,class2_2026_04_27_15_21_13.csv,2,130.82,break,199.737
131.776,412,0.659748,-16.707,-16.3736,2.1953,-10.8399,-28.5933,17.7534,3.0765,-2065.6684,-4767.0014,-2701.333,-2553.2915,-1982.0924,-4205.3292,3.1898,13.2952,4.168,0.0,7.449,class1_2026_04_27_14_45_49.csv,0,131.78,break,199.737
127.628,399,0.63898,-5.91,-8.801,2.8957,-13.933,-13.4468,-0.4862,8.8685,1147.5282,-2616.7712,-3764.2995,594.0439,9680.2508,-2750.7837,2.2597,4.3833,1.9398,2.871,8.936,class1_2026_04_27_14_45_49.csv,1,127.63,connector,199.737
27.44,85,0.137381,-14.212,-14.673,0.4589,-14.6053,-15.9433,1.3381,1.0965,97.0524,-356.3014,-453.3538,-1009.4044,355.7994,-1155.1724,0.4902,0.5409,1.1034,4.786,1.338,class2_2026_04_27_16_08_20.csv,0,27.44,bend,199.737
127.628,399,0.63898,-7.948,-10.8482,2.9078,-16.0568,-15.504,-0.5528,8.9305,1083.6786,-2651.0462,-3734.7248,609.7179,9663.2323,-2811.9122,2.3166,4.3132,1.8619,2.871,9.102,class2_2026_04_27_16_08_20.csv,1,127.63,connector,199.737
131.776,412,0.659748,-18.817,-18.5196,2.1093,-12.9609,-31.2193,18.2583,4.0645,-2157.0787,-4269.3412,-2112.2624,-1815.0486,-1815.0486,-3073.6646,3.3071,13.2979,4.021,0.0,6.746,class2_2026_04_27_16_08_20.csv,2,131.78,break,199.737
16.911,52,0.084666,-14.642,-14.8609,0.4901,-14.4175,-22.0944,7.6769,0.232,-38.6609,-3207.2317,-3168.5708,-467.0846,188.0197,-1573.6677,0.1054,12.4777,118.4178,0.0,1.543,class2_2026_04_27_16_03_18.csv,0,16.91,bend,199.737
127.628,399,0.63898,-8.604,-11.4286,2.7456,-16.3861,-16.0679,-0.3182,8.481,1185.9809,-2901.2011,-4087.182,597.1787,9721.0031,-2785.2665,2.1836,4.225,1.9349,2.871,8.258,class2_2026_04_27_16_03_18.csv,1,127.63,connector,199.737
131.457,411,0.65815,-17.501,-18.6929,2.6507,-13.4409,-29.8183,16.3774,3.9025,-1417.7441,-2652.6774,-1234.9333,-6858.9373,-1613.7269,-6858.9373,3.0558,12.7104,4.1594,0.0,7.432,class2_2026_04_27_16_03_18.csv,2,131.46,break,199.737
14.996,46,0.075079,-14.516,-14.7493,0.4007,-14.2646,-15.8653,1.6008,0.2965,-85.3458,-243.6869,-158.3411,-188.0878,48.5893,-1398.8655,0.1811,0.47,2.5961,0.0,1.211,class2_2026_04_27_16_02_06.csv,0,15.0,bend,199.737
131.457,411,0.65815,-17.492,-18.0016,2.6755,-12.7727,-30.8544,18.0818,3.407,-1431.4036,-1675.0077,-243.6041,-3321.3197,-1847.5537,-47909.094,3.0861,13.5385,4.387,0.0,8.595,class2_2026_04_27_16_02_06.csv,1,131.46,break,199.737
127.309,398,0.637383,-8.685,-11.4179,3.341,-16.1151,-16.4296,0.3144,8.526,584.4136,-2897.8776,-3482.2911,4512.5392,9333.8558,-2658.3072,1.3691,9.1828,6.7072,2.871,8.692,class2_2026_04_27_16_02_06.csv,2,127.31,connector,199.737
132.095,413,0.661345,-16.984,-17.268,2.1241,-10.9661,-30.1131,19.1469,3.4505,-2459.1032,-4377.0597,-1917.9565,-4039.1881,-2126.0485,-4471.7884,3.3201,14.0188,4.2224,0.0,6.369,class1_2026_04_27_14_38_15.csv,0,132.09,break,199.737
127.628,399,0.63898,-5.951,-8.8114,2.851,-13.9707,-13.4945,-0.4762,8.8165,1181.2073,-2706.5139,-3887.7211,579.9373,9523.511,-2800.9404,2.2721,4.3471,1.9133,2.871,8.816,class1_2026_04_27_14_38_15.csv,1,127.63,connector,199.737
132.414,414,0.662942,-18.003,-18.0952,1.8635,-11.1779,-30.9266,19.7487,3.677,-2697.9237,-3978.0542,-1280.1305,-2699.0596,-1626.9592,-47695.9295,3.6371,13.5003,3.7119,0.0,5.994,class1_2026_04_27_14_39_05.csv,0,132.41,break,199.737
127.947,400,0.640577,-6.317,-8.2598,2.0163,-13.4417,-14.3393,0.8977,8.83,1640.809,-2720.967,-4361.776,-2007.837,9648.9028,-3203.7618,2.8932,4.2811,1.4797,2.871,6.898,class1_2026_04_27_14_39_05.csv,1,127.95,connector,199.737
29.993,93,0.150162,-14.437,-14.6129,0.3085,-14.3448,-15.8577,1.5129,0.113,-5.3425,-413.3255,-407.983,-46.8996,90.9091,-1214.7335,0.1381,0.6232,4.5121,1.915,0.947,class2_2026_04_27_16_10_06.csv,0,29.99,bend,199.737
127.628,399,0.63898,-7.87,-10.6768,2.7034,-15.7845,-18.5254,2.7409,8.597,1140.4793,-2600.9164,-3741.3957,581.5047,9589.3417,-2702.1944,2.2359,11.6727,5.2205,2.871,8.149,class2_2026_04_27_16_10_06.csv,1,127.63,connector,199.737
131.776,412,0.659748,-18.564,-21.5061,10.1877,-12.8161,-37.0891,24.273,3.306,-2098.0144,-1253.4819,844.5326,-2992.1646,-1995.0495,-48014.1097,3.187,14.3487,4.5023,0.0,34.802,class2_2026_04_27_16_10_06.csv,2,131.78,break,199.737
10.848,33,0.054311,-16.678,-16.3416,0.6537,-11.8541,-18.0129,6.1588,1.3595,-1829.7517,-569.1825,1260.5692,158.3056,158.3056,-1191.7489,3.2872,0.9292,0.2827,0.0,2.092,class3_2026_05_14_12_53_50.csv,0,10.85,bend,199.737
127.628,399,0.63898,-16.712,-18.0188,0.897,-19.5643,-32.2514,12.6872,3.387,522.2075,-7634.1897,-8156.3972,749.2147,2454.5455,-6159.8746,1.0129,14.2753,14.094,2.552,2.982,class3_2026_05_14_12_53_50.csv,1,127.63,break,199.737
103.378,323,0.517571,-18.007,-17.2587,1.5906,-10.002,-23.6901,13.6881,3.0815,-2556.807,-4312.6038,-1755.7968,-1578.0612,-1578.0612,-2357.3668,4.3117,9.3779,2.175,0.0,5.362,class3_2026_05_14_12_56_02.csv,0,103.38,break,199.737
96.997,303,0.485624,-1.478,-4.8576,4.011,-13.285,-9.1719,-4.1131,12.5875,2146.5233,-2654.2203,-4800.7436,94.0439,16778.9969,-3098.7461,3.9201,4.3294,1.1044,3.51,13.325,class3_2026_05_14_12_56_02.csv,1,97.0,connector,199.737
127.628,399,0.63898,-5.899,-8.8213,2.9372,-13.9235,-13.384,-0.5395,8.851,1122.018,-2707.9679,-3829.9858,606.5831,9764.8903,-2736.6771,2.251,4.2503,1.8881,2.871,9.08,class1_2026_04_27_14_46_48.csv,0,127.63,connector,199.737
132.733,415,0.664539,-18.463,-18.8999,2.2517,-11.4031,-31.9399,20.5368,2.9795,-2707.9679,-6207.5048,-3499.5369,-1007.837,-1007.837,-6371.4749,3.94,13.1467,3.3367,0.0,8.264,class1_2026_04_27_14_46_48.csv,1,132.73,break,199.737
35.736,111,0.178915,-6.877,-9.4009,2.3506,-13.6393,-12.6288,-1.0104,7.5345,1036.9927,-1716.862,-2753.8547,-379.3103,8630.6344,-2742.9467,2.0369,2.4719,1.2136,2.552,7.622,class3_2026_05_14_13_15_01.csv,0,35.74,connector,199.737
128.585,402,0.643772,-16.805,-16.5176,1.8725,-15.3088,-33.5349,18.2261,2.387,224.58,-5456.5024,-5681.0825,-2728.8401,1562.6959,-3354.2335,0.4673,14.7202,31.5024,0.0,5.272,class3_2026_05_14_13_15_01.csv,1,128.59,break,199.737
82.32,257,0.412142,-15.724,-15.4943,0.5246,-14.7477,-16.3764,1.6287,1.0075,-75.3837,-127.2232,-51.8396,-813.4796,-167.7116,-1068.9671,0.2323,0.3041,1.3093,0.0,1.502,class2_2026_04_27_15_33_11.csv,0,82.32,bend,199.737
131.776,412,0.659748,-18.422,-18.2348,2.1621,-12.7926,-34.6493,21.8567,3.08,-2065.7775,-3373.1763,-1307.3989,-5009.4028,-1539.1429,-6970.2194,3.1901,13.7944,4.3241,0.0,7.391,class2_2026_04_27_15_33_11.csv,1,131.78,break,199.737
127.628,399,0.63898,-7.86,-10.7334,2.8971,-15.934,-15.4368,-0.4972,8.932,1232.1673,-2608.7687,-3840.936,601.8809,9592.4765,-2873.0408,2.2975,4.4729,1.9469,2.871,8.963,class2_2026_04_27_15_33_11.csv,2,127.63,connector,199.737
23.611,73,0.11821,-15.621,-15.6583,0.5314,-14.8265,-16.9833,2.1568,1.2135,-323.5755,-238.0742,85.5013,-467.0846,1794.6708,-1716.3009,0.5087,0.6575,1.2926,0.0,1.636,class2_2026_04_27_16_05_29.csv,0,23.61,bend,199.737
127.309,398,0.637383,-10.158,-13.0078,3.5562,-17.9674,-16.0323,-1.9351,8.9825,632.3203,-2706.6622,-3338.9825,4572.1003,9865.5594,-2641.0658,1.5765,4.1867,2.6558,2.871,9.405,class2_2026_04_27_16_05_29.csv,1,127.31,connector,199.737
131.457,411,0.65815,-20.393,-19.2332,2.2792,-14.3195,-34.3131,19.9936,3.625,-1438.1911,-6255.4223,-4817.2312,-1468.652,-1468.652,-3656.7367,3.2091,14.0292,4.3717,0.0,7.023,class2_2026_04_27_16_05_29.csv,2,131.46,break,199.737
81.044,253,0.405754,-15.593,-15.4808,0.6886,-14.6931,-16.6687,1.9757,0.8875,-35.3772,-179.1676,-143.7904,-926.3323,-25.0784,-1076.8025,0.1506,0.4177,2.7729,0.0,1.87,class2_2026_04_27_15_35_57.csv,0,81.04,bend,199.737
130.818,409,0.654951,-16.197,-16.2203,2.3522,-12.9804,-36.7313,23.7509,4.2255,106.9174,-8476.736,-8583.6535,-2277.0661,-2025.0784,-3779.0,3.1461,14.8027,4.7051,0.0,7.123,class2_2026_04_27_15_35_57.csv,1,130.82,break,199.737
127.947,400,0.640577,-8.452,-10.4031,2.0168,-15.5957,-19.6492,4.0535,8.681,1682.9453,-5030.0954,-6713.0407,-2021.9436,9626.9592,-3195.9248,2.9002,11.418,3.9369,2.871,6.913,class2_2026_04_27_15_35_57.csv,2,127.95,connector,199.737
96.678,302,0.484026,-9.557,-11.6231,2.1707,-14.5252,-16.3001,1.7749,5.905,314.7181,-2735.0921,-3049.8103,3959.2476,6755.4859,-2518.8088,0.794,5.2422,6.6026,2.233,5.963,class3_2026_05_14_12_59_21.csv,0,96.68,connector,199.737
99.869,312,0.500003,-16.287,-16.4719,2.3011,-12.9309,-33.9928,21.0619,3.0885,-22.9394,-8698.4307,-8675.4912,-3023.511,-1782.1317,-4539.185,2.1385,14.4754,6.7691,0.0,7.598,class3_2026_05_14_12_59_21.csv,1,99.87,break,199.737
127.628,399,0.63898,-5.869,-8.7626,2.8843,-13.9077,-13.3287,-0.5791,8.889,1166.4655,-2634.1873,-3800.6529,608.1505,9620.6897,-2733.5423,2.2629,4.2338,1.871,2.871,8.916,class1_2026_04_27_14_48_51.csv,0,127.63,connector,199.737
131.776,412,0.659748,-16.563,-16.313,2.093,-10.7844,-29.0914,18.307,3.0935,-2053.1073,-4967.3584,-2914.2511,-3142.6332,-2098.6067,-3142.6332,3.1597,13.1201,4.1523,0.0,6.032,class1_2026_04_27_14_48_51.csv,1,131.78,break,199.737
69.557,217,0.348243,-17.725,-18.0504,2.6926,-13.3022,-32.4566,19.1544,3.3035,-629.5996,-3420.6593,-2791.0597,-4595.6113,-1833.8558,-6084.6395,2.1101,14.011,6.64,0.0,8.44,class3_2026_05_22_11_05_50.csv,0,69.56,break,199.737
66.047,206,0.33067,-9.947,-11.9073,1.944,-14.4463,-17.7658,3.3195,5.1845,261.7935,-2857.164,-3118.9575,3261.7555,6335.4232,-2620.6348,0.7246,8.6923,11.9959,2.234,5.303,class3_2026_05_22_11_05_50.csv,1,66.05,connector,199.737
120.927,378,0.605431,-17.329,-17.1883,0.5994,-15.1799,-17.8765,2.6966,0.4995,-495.7328,-28.1521,467.5807,-710.0313,-452.9765,-1092.1967,0.7983,0.5945,0.7448,0.0,2.039,class2_2026_04_27_15_15_26.csv,0,120.93,bend,199.737
127.628,399,0.63898,-9.231,-12.1793,2.9912,-17.1662,-21.2896,4.1234,8.5265,1102.1557,-4605.6843,-5707.8401,652.0376,9973.1411,-2724.1379,2.2523,13.2312,5.8746,2.871,9.293,class2_2026_04_27_15_15_26.csv,1,127.63,connector,199.737
131.457,411,0.65815,-19.664,-22.0154,10.0406,-14.1069,-35.1563,21.0494,3.572,-1356.2419,-1668.403,-312.1611,-3062.6928,-2023.4269,-47391.8527,3.1059,13.342,4.2957,0.0,34.423,class2_2026_04_27_15_15_26.csv,2,131.46,break,199.737
127.628,399,0.63898,-5.9,-8.7754,2.8615,-13.8846,-13.5071,-0.3774,8.77,1140.7607,-2647.5511,-3788.3118,628.5266,9700.627,-2747.6489,2.2388,4.5053,2.0124,2.871,8.766,class1_2026_04_27_14_49_38.csv,0,127.63,connector,199.737
131.776,412,0.659748,-16.665,-16.3769,2.2097,-10.8085,-31.9869,21.1784,2.9345,-2068.077,-3935.0333,-1866.9563,-2010.9702,-2010.9702,-6153.6066,3.1599,14.3824,4.5516,0.0,7.294,class1_2026_04_27_14_49_38.csv,1,131.78,break,199.737
94.764,296,0.474444,-15.313,-15.4061,0.6957,-14.7206,-16.6689,1.9483,0.828,7.227,-210.1939,-217.4209,-1678.6834,70.5329,-1678.6834,0.1121,0.3627,3.2367,0.0,1.762,class2_2026_04_27_15_28_40.csv,0,94.76,bend,199.737
131.457,411,0.65815,-17.979,-17.5263,1.6901,-13.0912,-31.8614,18.7702,3.8815,-1446.3858,-2181.9033,-735.5174,-2086.2053,-2086.2053,-48369.9075,3.1783,13.328,4.1934,0.0,4.793,class2_2026_04_27_15_28_40.csv,1,131.46,break,199.737
127.309,398,0.637383,-8.913,-11.7197,3.4336,-16.5469,-16.3065,-0.2404,8.733,551.2363,-2638.7113,-3189.9476,4641.0658,9901.2539,-2669.279,1.3853,8.9595,6.4676,2.871,8.985,class2_2026_04_27_15_28_40.csv,2,127.31,connector,199.737
127.628,399,0.63898,-5.961,-8.8327,2.8377,-13.9648,-13.6041,-0.3607,8.803,1165.0313,-2741.2345,-3906.2658,547.0219,9543.8871,-2818.1818,2.2639,4.4131,1.9493,2.871,8.771,class1_2026_04_27_14_37_06.csv,0,127.63,connector,199.737
132.095,413,0.661345,-18.365,-17.4616,2.1123,-11.0154,-31.1414,20.1259,3.5005,-2494.7301,-4368.8489,-1874.1188,-2036.0502,-2036.0502,-3957.6803,3.3582,13.3942,3.9885,0.0,6.183,class1_2026_04_27_14_37_06.csv,1,132.09,break,199.737
35.417,110,0.177318,-9.74,-11.7536,1.8752,-14.2484,-18.2339,3.9854,5.1375,315.1287,-2900.6861,-3215.8148,2841.6928,6047.0219,-2553.2915,0.7713,8.9081,11.55,2.233,5.131,class3_2026_05_14_12_58_43.csv,0,35.42,connector,199.737
38.607,120,0.193289,-17.296,-17.136,2.7741,-13.0797,-26.8444,13.7647,3.1075,-246.7744,-2599.7252,-2352.9508,-3083.0721,-1909.0909,-9106.5831,1.9753,10.6229,5.3779,0.0,9.84,class3_2026_05_14_12_58_43.csv,1,38.61,break,199.737
120.927,378,0.605431,-16.488,-16.4651,0.6186,-15.0237,-17.1039,2.0802,0.75,-305.1059,-91.3168,213.789,-924.7649,-542.3213,-956.1113,0.4895,0.5396,1.1024,0.0,2.002,class2_2026_04_27_15_16_41.csv,0,120.93,bend,199.737
127.947,400,0.640577,-8.531,-10.5008,2.0325,-15.8374,-19.7446,3.9071,8.938,1682.9064,-2576.8,-4259.7065,-1995.2978,10038.9303,-3269.5925,2.9614,11.4693,3.8729,2.871,6.956,class2_2026_04_27_15_16_41.csv,1,127.95,connector,199.737
131.776,412,0.659748,-18.568,-21.6567,10.1336,-13.1442,-32.7098,19.5656,3.0915,-2086.1267,-863.901,1222.2257,-1716.2994,-1716.2994,-47329.1567,3.2405,13.8302,4.2679,0.0,34.636,class2_2026_04_27_15_16_41.csv,2,131.78,break,199.737
20.42,63,0.102234,-15.99,-17.2243,2.2644,-16.3462,-18.9631,2.6168,0.3615,83.5117,1738.0206,1654.5089,-186.9806,910.6567,-50670.848,0.2443,7.7539,31.7404,0.639,7.508,class2_2026_04_27_15_57_38.csv,0,20.42,bend,199.737
131.457,411,0.65815,-18.268,-21.3449,10.3647,-13.0278,-32.5497,19.5219,3.7115,-1440.7781,2032.1907,3472.9688,-4768.0251,-2830.721,-49459.2524,3.1996,13.9024,4.345,0.0,35.727,class2_2026_04_27_15_57_38.csv,1,131.46,break,199.737
127.628,399,0.63898,-8.085,-10.9598,2.8656,-15.8973,-20.5056,4.6083,8.507,1020.5032,-2860.9462,-3881.4493,553.2915,9454.5455,-2818.1818,2.202,13.6432,6.1959,2.871,8.918,class2_2026_04_27_15_57_38.csv,2,127.63,connector,199.737
96.997,303,0.485624,-0.158,-3.4206,4.3773,-12.7262,-7.2336,-5.4926,11.685,2344.0153,-2569.0867,-4913.1021,525.0784,18650.4702,-3106.5831,4.3319,4.0736,0.9404,3.829,14.304,class3_2026_05_14_13_39_43.csv,0,97.0,connector,199.737
127.628,399,0.63898,-2.167,-5.6227,3.9936,-13.6754,-9.6936,-3.9819,12.344,1910.6445,-2648.4954,-4559.1399,697.4922,15260.5585,-2771.1599,3.5989,4.3308,1.2034,3.828,12.847,class3_2026_05_14_13_39_43.csv,1,127.63,connector,199.737
134.009,419,0.670927,-17.832,-18.5761,2.9614,-10.4863,-29.6478,19.1615,3.0085,-2522.7234,-4279.7466,-1757.0232,-2788.4028,-1484.3276,-9815.047,4.2536,12.7058,2.9871,0.0,10.121,class3_2026_05_14_13_39_43.csv,2,134.01,break,199.737
19.782,61,0.09904,-14.427,-14.4864,0.1468,-14.4672,-15.6557,1.1885,0.331,13.4598,-392.8463,-406.3061,-297.8056,343.2602,-471.0067,0.09,0.8012,8.9014,0.0,0.545,class2_2026_04_27_16_05_41.csv,0,19.78,bend,199.737
131.138,410,0.656553,-17.367,-17.4018,2.4219,-13.2988,-26.4574,13.1587,3.9295,-587.9467,-2931.4832,-2343.5365,-2585.4712,-2326.0188,-46379.315,3.0873,10.6432,3.4474,0.0,7.751,class2_2026_04_27_16_05_41.csv,1,131.14,break,199.737
127.628,399,0.63898,-8.434,-11.332,2.8836,-16.3683,-17.5612,1.1929,8.5635,1073.6152,-2741.0639,-3814.6791,609.7179,9417.5592,-2774.2947,2.256,8.8602,3.9273,2.871,9.008,class2_2026_04_27_16_05_41.csv,2,127.63,connector,199.737
